"111年12月30日 三大法人買賣超日報"
"證券代號" "證券名稱" "外陸資買進股數(不含外資自營商)" "外陸資賣出股數(不含外資自營商)" "外陸資買賣超股數(不含外資自營商)" "外資自營商買進股數" "外資自營商賣出股數" "外資自營商買賣超股數" "投信買進股數" "投信賣出股數" "投信買賣超股數" "自營商買賣超股數" "自營商買進股數(自行買賣)" "自營商賣出股數(自行買賣)" "自營商買賣超股數(自行買賣)" "自營商買進股數(避險)" "自營商賣出股數(避險)" "自營商買賣超股數(避險)" "三大法人買賣超股數"
"1720" "生達            " "2046000" "764000" "1282000" "0" "0" "0" "0" "0" "0" "-49" "0" "0" "0" "55000" "55049" "-49" "1281951"
"1305" "華夏            " "1144000" "462050" "681950" "0" "0" "0" "525000" "0" "525000" "-37425" "5000" "4425" "575" "0" "38000" "-38000" "1169525"
"2354" "鴻準            " "1663000" "497357" "1165643" "0" "0" "0" "0" "0" "0" "411" "3000" "4341" "-1341" "8000" "6248" "1752" "1166054"
"2881" "富邦金          " "3878050" "2647330" "1230720" "0" "0" "0" "8000" "151000" "-143000" "65000" "183000" "197000" "-14000" "88000" "9000" "79000" "1152720"
"1216" "統一            " "4062369" "2942000" "1120369" "0" "0" "0" "7000" "0" "7000" "15172" "44000" "29000" "15000" "172" "0" "172" "1142541"
"1522" "堤維西          " "2048000" "1065000" "983000" "0" "0" "0" "0" "0" "0" "148427" "0" "4000" "-4000" "169427" "17000" "152427" "1131427"
"3044" "健鼎            " "1091586" "503000" "588586" "0" "0" "0" "367000" "0" "367000" "152727" "154000" "4000" "150000" "7000" "4273" "2727" "1108313"
"2353" "宏碁            " "3186000" "2451886" "734114" "0" "0" "0" "90000" "56000" "34000" "308001" "105001" "100000" "5001" "314000" "11000" "303000" "1076115"
"6282" "康舒            " "1003000" "187000" "816000" "0" "0" "0" "0" "0" "0" "217000" "128000" "25000" "103000" "118000" "4000" "114000" "1033000"
"3704" "合勤控          " "1191000" "447000" "744000" "0" "0" "0" "0" "0" "0" "264688" "6144" "9000" "-2856" "279544" "12000" "267544" "1008688"
"2890" "永豐金          " "7559000" "6874037" "684963" "0" "0" "0" "13000" "0" "13000" "297000" "107000" "48000" "59000" "259000" "21000" "238000" "994963"
