112年05月30日 三大法人日交易資訊(含普通股、零股)依股票代碼排序  不含鉅額交易、綜合帳戶之投信買賣成交量
代號名稱外資及陸資(不含外資自營商)-買進股數外資及陸資(不含外資自營商)-賣出股數外資及陸資(不含外資自營商)-買賣超股數外資自營商-買進股數外資自營商-賣出股數外資自營商-買賣超股數外資及陸資-買進股數外資及陸資-賣出股數外資及陸資-買賣超股數投信-買進股數投信-賣出股數投信-買賣超股數自營商(自行買賣)-買進股數自營商(自行買賣)-賣出股數自營商(自行買賣)-買賣超股數自營商(避險)-買進股數自營商(避險)-賣出股數自營商(避險)-買賣超股數自營商-買進股數自營商-賣出股數自營商-買賣超股數三大法人買賣超股數合計
"00754B" "群益AAA-AA公司債" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "210000" "210000" "0" "210000" "210000" "0" "0"
"00755B" "群益投資級公用債" "186000" "0" "186000" "0" "0" "0" "186000" "0" "186000" "0" "0" "0" "0" "0" "0" "100000" "293927" "-193927" "100000" "293927" "-193927" "-7927"
"00756B" "群益投等新興公債" "5000" "0" "5000" "0" "0" "0" "5000" "0" "5000" "0" "0" "0" "0" "0" "0" "218000" "299000" "-81000" "218000" "299000" "-81000" "-76000"
"00758B" "復華能源債" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "100000" "100000" "0" "100000" "100000" "0" "0"
"00759B" "復華製藥債" "58000" "0" "58000" "0" "0" "0" "58000" "0" "58000" "0" "0" "0" "0" "0" "0" "100000" "158000" "-58000" "100000" "158000" "-58000" "0"
"00760B" "復華新興企業債" "10000" "0" "10000" "0" "0" "0" "10000" "0" "10000" "0" "0" "0" "0" "0" "0" "1042000" "1094206" "-52206" "1042000" "1094206" "-52206" "-42206"
"00761B" "國泰A級公司債" "230000" "0" "230000" "0" "0" "0" "230000" "0" "230000" "0" "0" "0" "0" "0" "0" "230214" "669000" "-438786" "230214" "669000" "-438786" "-208786"
"00764B" "群益25年美債" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "2098172" "2586888" "-488716" "2098172" "2586888" "-488716" "-488716"
"00768B" "復華20年美債" "162000" "0" "162000" "0" "0" "0" "162000" "0" "162000" "0" "0" "0" "0" "0" "0" "120332" "284061" "-163729" "120332" "284061" "-163729" "-1729"
"00772B" "中信高評級公司債" "1485090" "332000" "1153090" "0" "0" "0" "1485090" "332000" "1153090" "0" "0" "0" "0" "0" "0" "471000" "4650369" "-4179369" "471000" "4650369" "-4179369" "-3026279"
"00773B" "中信優先金融債" "216000" "0" "216000" "0" "0" "0" "216000" "0" "216000" "0" "0" "0" "0" "0" "0" "1243000" "1802769" "-559769" "1243000" "1802769" "-559769" "-343769"
"00777B" "凱基AAA至A公司債" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "100000" "100000" "0" "100000" "100000" "0" "0"
"00778B" "凱基金融債20+" "9000" "0" "9000" "0" "0" "0" "9000" "0" "9000" "0" "0" "0" "0" "0" "0" "100000" "109000" "-9000" "100000" "109000" "-9000" "0"
