111年09月12日 三大法人日交易資訊(含普通股、鉅額、零股、綜合帳戶之投信買賣成交量)依股票代碼排序
代號名稱外資及陸資(不含外資自營商)-買進股數外資及陸資(不含外資自營商)-賣出股數外資及陸資(不含外資自營商)-買賣超股數外資自營商-買進股數外資自營商-賣出股數外資自營商-買賣超股數外資及陸資-買進股數外資及陸資-賣出股數外資及陸資-買賣超股數投信-買進股數投信-賣出股數投信-買賣超股數自營商(自行買賣)-買進股數自營商(自行買賣)-賣出股數自營商(自行買賣)-買賣超股數自營商(避險)-買進股數自營商(避險)-賣出股數自營商(避險)-買賣超股數自營商-買進股數自營商-賣出股數自營商-買賣超股數三大法人買賣超股數合計
"00679B" "元大美債20年" "66100" "212000" "-145900" "0" "0" "0" "66100" "212000" "-145900" "0" "0" "0" "0" "0" "0" "5000" "3091000" "-3086000" "5000" "3091000" "-3086000" "-3231900"
"00687B" "國泰20年美債" "160000" "8000" "152000" "0" "0" "0" "160000" "8000" "152000" "0" "0" "0" "0" "0" "0" "861000" "1168000" "-307000" "861000" "1168000" "-307000" "-155000"
"00694B" "富邦美債1-3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "101000" "106000" "-5000" "101000" "106000" "-5000" "-5000"
"00695B" "富邦美債7-10" "0" "31000" "-31000" "0" "0" "0" "0" "31000" "-31000" "0" "0" "0" "0" "0" "0" "117000" "103000" "14000" "117000" "103000" "14000" "-17000"
"00696B" "富邦美債20年" "2000" "8000" "-6000" "0" "0" "0" "2000" "8000" "-6000" "0" "0" "0" "0" "0" "0" "80000" "138000" "-58000" "80000" "138000" "-58000" "-64000"
"00697B" "元大美債7-10" "0" "2000" "-2000" "0" "0" "0" "0" "2000" "-2000" "0" "0" "0" "5000" "0" "5000" "100557" "119970" "-19413" "105557" "119970" "-14413" "-16413"
"00718B" "富邦中國政策債" "1000" "0" "1000" "0" "0" "0" "1000" "0" "1000" "0" "0" "0" "0" "0" "0" "156000" "150000" "6000" "156000" "150000" "6000" "7000"
"00719B" "元大美債1-3" "5000" "34000" "-29000" "0" "0" "0" "5000" "34000" "-29000" "0" "0" "0" "0" "0" "0" "100559" "134405" "-33846" "100559" "134405" "-33846" "-62846"
"00720B" "元大投資級公司債" "155000" "0" "155000" "0" "0" "0" "155000" "0" "155000" "0" "0" "0" "0" "0" "0" "94000" "542000" "-448000" "94000" "542000" "-448000" "-293000"
"00721B" "元大中國債3-5" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "106000" "100000" "6000" "106000" "100000" "6000" "6000"
"00722B" "群益15年IG電信債" "65000" "0" "65000" "0" "0" "0" "65000" "0" "65000" "0" "0" "0" "0" "0" "0" "104000" "181000" "-77000" "104000" "181000" "-77000" "-12000"
"00723B" "群益15年IG科技債" "8000" "0" "8000" "0" "0" "0" "8000" "0" "8000" "0" "0" "0" "0" "0" "0" "138000" "149000" "-11000" "138000" "149000" "-11000" "-3000"
"00724B" "群益10年IG金融債" "38000" "0" "38000" "0" "0" "0" "38000" "0" "38000" "0" "0" "0" "0" "0" "0" "101000" "128000" "-27000" "101000" "128000" "-27000" "11000"
"00725B" "國泰投資級公司債" "439000" "0" "439000" "0" "0" "0" "439000" "0" "439000" "0" "0" "0" "0" "0" "0" "111068" "141563" "-30495" "111068" "141563" "-30495" "408505"
"00726B" "國泰5Y+新興債" "4000" "0" "4000" "0" "0" "0" "4000" "0" "4000" "0" "0" "0" "0" "0" "0" "105764" "108799" "-3035" "105764" "108799" "-3035" "965"
