1101,台泥,35314691,14765,1163672608,32.75,33.25,32.55,33.00,+,0.60,32.95,273,33.00,64,32.04,
1101B,台泥乙特,6245,8,300535,48.00,48.30,48.00,48.30,X,0.00,48.10,1,48.40,14,0.00,
1102,亞泥,10741442,5869,475395394,44.10,44.50,43.85,44.50,+,0.55,44.45,28,44.50,327,14.50,
1103,嘉泥,786156,648,14598713,18.70,18.75,18.50,18.50,-,0.05,18.50,54,18.60,16,154.17,
1104,環泥,1372396,863,48605993,35.45,35.60,35.30,35.40,+,0.15,35.40,21,35.45,7,11.31,
1108,幸福,1481215,573,25445092,17.25,17.25,17.10,17.15,+,0.05,17.15,66,17.20,133,13.19,
1109,信大,680060,726,14016367,20.70,20.80,20.50,20.65,-,0.05,20.55,1,20.65,21,10.27,
1110,東泥,438828,245,9124557,20.80,21.00,20.65,20.85,+,0.10,20.75,7,20.85,23,80.19,
1201,味全,342635,332,6514624,19.00,19.05,19.00,19.00, ,0.00,18.95,83,19.00,7,35.85,
1203,味王,31554,137,1614862,50.40,52.10,50.40,51.00,+,1.05,50.80,1,51.00,5,28.33,
1210,大成,994988,928,57056692,57.20,57.60,57.10,57.40,+,0.40,57.40,3,57.50,140,11.93,
1213,大飲,3600,4,25840,7.18,7.18,7.16,7.16,+,0.07,7.09,3,7.16,1,0.00,
1215,卜蜂,435193,714,45919438,106.00,106.00,105.00,106.00,+,0.50,105.50,15,106.50,38,13.77,
1216,統一,8275999,5132,641763728,76.50,78.20,76.20,77.60,+,1.60,77.50,100,77.60,2,24.02,
1217,愛之味,2011025,796,24627093,12.20,12.30,12.20,12.25,+,0.10,12.20,130,12.25,14,29.88,
1218,泰山,951990,708,21176809,22.20,22.40,22.05,22.25,+,0.20,22.20,12,22.25,5,0.00,
1219,福壽,431349,279,8315546,19.35,19.35,19.25,19.25, ,0.00,19.25,4,19.30,38,20.48,
1220,台榮,985921,730,16740770,17.35,17.35,16.70,17.00,-,0.25,16.95,19,17.00,19,22.37,
1225,福懋油,117852,170,7534079,63.00,64.80,63.00,64.80,+,2.00,64.50,1,64.80,21,40.50,
1227,佳格,557852,498,21582156,38.50,38.75,38.50,38.70,+,0.20,38.65,20,38.70,23,28.67,
1229,聯華,1003739,1166,67545485,66.60,67.70,66.60,67.40,+,0.80,67.40,23,67.50,1,25.53,
1231,聯華食,116893,284,11474709,97.70,98.60,97.70,98.50,+,1.00,98.20,3,98.50,14,25.06,
1232,大統益,89301,190,13013239,145.50,146.00,145.50,146.00,+,0.50,145.50,9,146.00,25,20.48,
1233,天仁,35702,29,1208174,33.80,34.10,33.80,33.95,+,0.05,33.85,1,34.00,6,32.03,
1234,黑松,321980,371,13811689,42.45,43.10,42.35,43.10,+,0.90,43.00,10,43.10,38,18.26,
1235,興泰,14187,23,1178497,83.10,83.40,82.80,82.80,-,0.10,82.80,2,83.50,15,31.72,
1236,宏亞,23933,197,574925,24.15,24.15,23.90,24.05,+,0.20,23.95,7,24.10,2,133.61,
1256,鮮活果汁-KY,17016,85,3693622,216.50,218.00,216.50,218.00,+,2.00,216.00,5,218.00,1,17.57,
1301,台塑,8749835,5085,602602593,68.40,69.20,68.40,69.00,+,0.70,68.90,5,69.00,201,60.00,
1303,南亞,8076549,4355,465572769,57.20,58.00,57.00,57.70,+,0.90,57.50,57,57.70,68,72.12,
1304,台聚,2645065,1420,42496420,16.20,16.20,16.00,16.00,-,0.10,16.00,126,16.05,30,0.00,
1305,華夏,1088865,573,19778642,18.15,18.35,18.05,18.10,-,0.05,18.10,21,18.15,1,30.68,
1307,三芳,1131704,690,35489987,31.00,31.80,30.80,31.80,+,0.90,31.75,4,31.80,93,16.65,
1308,亞聚,1315523,1198,24993700,19.00,19.15,18.85,18.90,-,0.15,18.90,54,18.95,4,94.50,
1309,台達化,823383,935,12496038,15.40,15.40,15.10,15.20,-,0.15,15.15,5,15.20,11,0.00,
1310,台苯,1009541,623,13373746,13.35,13.35,13.15,13.35,+,0.05,13.30,22,13.35,2,0.00,
1312,國喬,1342811,850,18048899,13.50,13.50,13.35,13.45, ,0.00,13.40,233,13.45,57,0.00,
1312A,國喬特,6313,9,153405,24.30,24.30,24.30,24.30, ,0.00,24.25,1,24.30,2,0.00,
1313,聯成,1325027,532,18146805,13.80,13.80,13.65,13.65,-,0.05,13.65,63,13.70,14,0.00,
1314,中石化,53471212,11504,607604738,11.50,11.50,11.20,11.25,-,0.10,11.25,232,11.30,266,0.00,
1315,達新,26903,48,1921832,71.40,71.50,71.40,71.40,+,0.20,71.30,4,71.40,6,19.51,
1316,上曜,48688900,19488,1053710556,22.45,23.05,20.75,21.05,-,1.25,21.05,492,21.10,15,0.00,
1319,東陽,4481735,3693,521752742,120.00,120.00,115.00,115.50,-,4.00,115.00,362,115.50,39,22.65,
1321,大洋,2457146,1375,105567894,43.00,43.80,42.00,43.30,+,1.30,43.25,1,43.30,2,49.20,
1323,永裕,34353,33,1073525,31.25,31.25,31.25,31.25,+,0.10,31.20,1,31.25,6,33.60,
1324,地球,79053,86,1190070,15.15,15.15,15.00,15.10, ,0.00,15.05,13,15.10,95,28.49,
1325,恆大,223442,220,6219985,27.85,28.15,27.70,27.85,+,0.10,27.85,2,27.95,4,132.62,
1326,台化,4783230,3221,270857486,56.70,57.00,56.20,56.50,+,0.40,56.40,14,56.50,70,38.70,
1337,再生-KY,867254,422,6729576,7.63,7.84,7.63,7.80,+,0.17,7.80,4,7.81,11,0.00,
1338,廣華-KY,54972,132,1865511,34.10,34.10,33.85,33.90, ,0.00,33.85,11,33.95,1,0.00,
1339,昭輝,780963,726,61617520,77.60,79.80,76.90,79.50,+,2.70,79.50,3,79.60,12,13.52,
1340,勝悅-KY,105632,271,1058347,10.05,10.05,10.00,10.05, ,0.00,10.00,1,10.05,20,0.00,
1341,富林-KY,30385,41,2003223,66.30,66.30,65.60,66.10,+,0.10,65.80,1,66.10,1,14.85,
1342,八貫,548750,529,66967123,119.50,123.50,119.50,122.50,+,3.00,122.50,9,123.00,23,16.49,
1402,遠東新,6021559,3041,201544958,33.30,33.70,33.25,33.50,+,0.30,33.45,42,33.55,88,21.75,
1409,新纖,4689603,1943,80341982,17.35,17.35,17.00,17.05,-,0.20,17.05,12,17.10,103,36.28,
1410,南染,51010,46,1956279,38.30,38.50,38.15,38.30,+,0.15,38.10,10,38.40,1,159.58,
1413,宏洲,1461540,781,15631679,11.05,11.15,10.30,10.45,-,0.60,10.45,13,10.50,4,0.00,
1414,東和,771486,491,15554780,20.45,20.70,19.95,20.10,-,0.30,20.10,2,20.15,8,74.44,
1416,廣豐,3276052,1523,47289832,14.30,14.75,14.20,14.20,+,0.10,14.20,27,14.25,38,27.84,
1417,嘉裕,458164,388,5339288,11.75,11.80,11.50,11.60,-,0.05,11.55,2,11.60,7,0.00,
1418,東華,58608,55,1917067,32.60,33.30,32.35,32.95,+,0.30,32.90,1,32.95,1,44.53,
1419,新紡,213746,254,10863502,51.20,51.80,50.10,50.30,-,0.90,50.30,3,50.40,14,23.18,
1423,利華,457406,104,14470785,31.55,31.85,31.55,31.70,+,0.15,31.65,3,31.75,4,44.65,
1432,大魯閣,506830,530,9477726,19.30,19.30,18.45,18.55,-,0.40,18.55,8,18.65,1,27.69,
1434,福懋,1074299,964,24796387,23.10,23.20,23.00,23.10,+,0.20,23.05,3,23.10,10,88.85,
1435,中福,4537,36,218813,46.85,49.00,46.85,49.00,X,0.00,46.30,1,49.00,4,0.00,
1436,華友聯,1012734,984,161929419,163.00,164.00,155.00,164.00,+,4.00,164.00,19,164.50,13,17.28,
1437,勤益控,442238,433,15521678,34.80,35.45,34.25,35.35,+,0.85,35.30,3,35.35,3,12.54,
1438,三地開發,515980,412,28262193,56.00,56.00,54.00,55.10,-,0.70,54.80,7,55.10,4,0.00,
1439,雋揚,511136,478,15617691,29.65,31.30,29.15,31.00,+,1.35,30.95,10,31.00,1,15.50,
1440,南紡,10667065,3760,206288602,19.75,19.75,19.15,19.25,-,0.35,19.25,55,19.30,186,15.16,
1441,大東,51903,200,695646,13.45,13.50,13.00,13.40,-,0.05,13.30,2,13.40,8,0.00,
1442,名軒,7001723,4189,430109988,62.20,62.50,59.50,61.90,+,0.60,61.90,72,62.00,55,13.14,
1443,立益物流,42785,58,1324344,30.35,31.55,30.35,31.55,+,1.00,31.55,8,32.85,3,24.46,
