"00759B" "復華製藥債" "57.00" "+0.10" "56.95" "57.00" "56.95" "56.99" "122000" "6952900" "3" "56.95" "49" "57.05" "52" "47525000" "57.00" "9999.95" "0.01"
"00760B" "復華新興企業債" "53.30" "0.00 " "53.25" "53.40" "53.20" "53.38" "625584" "33394669" "56" "53.30" "107" "53.35" "7" "376020000" "53.30" "9999.95" "0.01"
"00761B" "國泰A級公司債" "37.12" "0.00 " "37.12" "37.14" "36.95" "37.09" "394528" "14633188" "121" "37.11" "319" "37.12" "47" "2384589000" "36.75" "9999.95" "0.01"
"00764B" "群益25年美債" "32.74" "+0.12" "32.64" "32.76" "32.62" "32.68" "2568877" "83963375" "569" "32.74" "5" "32.75" "145" "809000000" "32.74" "9999.95" "0.01"
"00768B" "復華20年美債" "56.00" "+0.15" "55.60" "56.00" "55.60" "55.87" "172338" "9629005" "25" "55.90" "1" "56.00" "68" "306600000" "56.00" "9999.95" "0.01"
"00772B" "中信高評級公司債" "35.67" "+0.06" "35.56" "35.68" "35.48" "35.57" "10179612" "362136146" "3393" "35.66" "163" "35.67" "74" "2986790000" "35.54" "9999.95" "0.01"
"00773B" "中信優先金融債" "35.77" "+0.08" "35.67" "35.79" "35.60" "35.71" "3677923" "131332502" "711" "35.77" "71" "35.79" "261" "2207790000" "35.63" "9999.95" "0.01"
"00777B" "凱基AAA至A公司債" "35.10" "-0.01 " "35.03" "35.10" "35.03" "35.09" "112000" "3930430" "4" "35.03" "6" "35.07" "1" "1329650000" "35.10" "9999.95" "0.01"
"00778B" "凱基金融債20+" "35.15" "+0.04" "35.15" "35.15" "35.15" "35.15" "100000" "3515000" "2" "35.07" "9" "35.20" "62" "1233150000" "35.15" "9999.95" "0.01"
"00779B" "凱基美債25+" "33.00" "0.00 " "32.88" "33.00" "32.88" "33.00" "102000" "3365880" "4" "32.95" "9" "33.07" "1" "786150000" "33.00" "9999.95" "0.01"
"00780B" "國泰A級金融債" "35.58" "+0.14" "35.47" "35.60" "35.47" "35.58" "227863" "8106973" "55" "35.58" "26" "35.59" "24" "272602000" "35.58" "9999.95" "0.01"
"00781B" "國泰A級科技債" "33.10" "-0.11 " "33.07" "33.11" "33.07" "33.10" "129000" "4270060" "9" "33.08" "2" "33.10" "39" "3836000" "33.10" "9999.95" "0.01"
"00782B" "國泰A級公用債" "32.94" "+0.12" "32.84" "32.94" "32.80" "32.87" "1254000" "41224280" "208" "32.93" "13" "32.94" "12" "14467000" "32.44" "9999.95" "0.01"
"00784B" "富邦中國投等債" "36.37" "+0.10" "36.25" "36.38" "36.25" "36.37" "101000" "3673750" "5" "36.28" "2" "36.38" "10" "2993000" "36.20" "9999.95" "0.01"
