1101,台泥,11197573,6252,359162999,32.10,32.25,32.00,32.00,-,0.05,32.00,2762,32.05,9,31.07,
1101B,台泥乙特,4471,9,220366,49.30,49.40,49.30,49.40, ,0.00,49.00,1,49.35,3,0.00,
1102,亞泥,3304071,1883,132561648,40.00,40.25,40.00,40.05, ,0.00,40.05,82,40.10,27,13.95,
1103,嘉泥,462107,429,8127942,17.65,17.65,17.55,17.55,-,0.15,17.55,109,17.60,7,146.25,
1104,環泥,1990991,1252,61491758,30.80,31.10,30.65,30.90,+,0.25,30.85,37,30.90,3,9.22,
1108,幸福,1540018,557,24664118,15.90,16.20,15.80,16.15,+,0.30,16.10,5,16.15,121,8.78,
1109,信大,811382,548,14478167,17.75,17.95,17.75,17.90,+,0.15,17.90,52,17.95,31,10.53,
1110,東泥,110148,91,1972505,17.90,18.00,17.80,17.95,-,0.05,17.90,1,18.00,14,38.19,
1201,味全,299899,485,5703611,19.10,19.15,18.95,18.95,-,0.15,18.95,63,19.00,5,67.68,
1203,味王,17027,161,907123,53.50,53.50,53.20,53.20,-,0.60,53.00,7,53.20,1,30.93,
1210,大成,5069706,3435,303832407,58.80,60.50,58.80,60.30,+,1.60,60.20,72,60.30,105,13.70,
1213,大飲,64192,19,452194,7.11,7.11,7.01,7.01,-,0.10,7.08,5,7.13,1,0.00,
1215,卜蜂,966482,1136,95263994,97.30,99.50,97.20,99.10,+,1.80,99.00,11,99.10,7,14.36,
1216,統一,4109517,3815,311846658,75.90,76.20,75.60,75.90,-,0.30,75.90,78,76.00,46,22.32,
1217,愛之味,665721,536,7867641,11.85,11.85,11.75,11.85,+,0.10,11.80,53,11.85,31,35.91,
1218,泰山,820900,761,17456632,21.50,21.50,21.15,21.15,-,0.25,21.15,38,21.20,9,1.97,
1219,福壽,353487,248,6673147,18.85,18.95,18.80,18.85, ,0.00,18.85,14,18.90,50,25.13,
1220,台榮,123166,122,1712038,13.90,13.95,13.85,13.90,+,0.05,13.90,13,13.95,21,31.59,
1225,福懋油,12520,29,686858,54.70,55.20,54.70,54.90, ,0.00,54.70,4,55.30,3,48.16,
1227,佳格,525092,548,19760779,37.60,37.75,37.55,37.55,-,0.05,37.55,131,37.60,1,28.88,
1229,聯華,2627036,2618,177325355,66.70,68.40,66.70,67.40,+,1.40,67.40,11,67.50,87,26.64,
1231,聯華食,168442,291,14680793,86.70,87.60,86.70,87.30,+,0.40,87.30,3,87.40,1,28.34,
1232,大統益,58425,191,8446825,144.50,145.00,144.00,144.00,-,0.50,144.00,28,144.50,2,19.12,
1233,天仁,10181,23,354115,34.90,34.90,34.70,34.75,-,0.20,34.70,6,34.75,1,30.22,
1234,黑松,126251,155,5073829,40.00,40.30,40.00,40.15, ,0.00,40.15,4,40.20,6,16.73,
1235,興泰,34551,42,2888274,84.00,84.00,83.10,84.00, ,0.00,84.00,1,84.10,1,52.17,
1236,宏亞,14617,61,353432,24.20,24.20,24.15,24.15,-,0.10,24.15,2,24.20,1,134.17,
1256,鮮活果汁-KY,17332,175,4315730,251.00,251.00,248.00,251.00, ,0.00,249.50,1,251.00,3,17.03,
1301,台塑,10390455,9214,733787199,70.80,71.20,70.40,70.40,-,0.40,70.40,350,70.70,17,156.44,
1303,南亞,13040264,9860,746015620,57.60,58.10,56.90,56.90,-,1.10,56.90,299,57.00,944,82.46,
1304,台聚,1063701,1190,19006649,17.80,18.00,17.80,17.85,-,0.10,17.85,24,17.90,47,29.26,
1305,華夏,1373513,959,27228769,19.90,20.00,19.80,19.80,-,0.10,19.80,209,19.85,41,35.36,
1307,三芳,429807,371,11576291,27.00,27.10,26.80,26.85,-,0.10,26.80,8,26.90,2,15.70,
1308,亞聚,559459,652,12113626,21.65,21.80,21.60,21.60,-,0.05,21.60,156,21.65,2,22.50,
1309,台達化,734613,792,11921368,16.35,16.35,16.10,16.20,-,0.15,16.15,27,16.20,24,0.00,
1310,台苯,862791,779,12110235,14.05,14.10,14.00,14.00,-,0.05,14.00,46,14.05,1,0.00,
1312,國喬,2937349,1918,41127422,14.05,14.15,13.95,14.00,-,0.05,14.00,16,14.05,113,0.00,
1312A,國喬特,10000,7,255300,25.50,25.60,25.50,25.60,X,0.00,25.50,3,25.70,1,0.00,
1313,聯成,1386627,775,20011646,14.50,14.55,14.35,14.35,-,0.15,14.35,158,14.40,20,0.00,
1314,中石化,8002312,2784,74510287,9.32,9.35,9.30,9.30,-,0.02,9.30,1374,9.31,21,0.00,
1315,達新,33065,56,2374501,71.60,72.00,71.60,71.90,+,0.10,71.80,13,71.90,1,16.80,
1316,上曜,49290772,18390,1137093638,22.15,23.85,21.70,23.85,+,2.15,23.85,54994,0,0,0.00,
1319,東陽,3002930,2371,301520298,100.00,102.00,99.10,100.00,+,0.40,100.00,90,100.50,9,23.04,
1321,大洋,469280,188,16744468,36.00,36.00,35.50,35.85,-,0.20,35.70,1,35.85,2,96.89,
1323,永裕,36233,96,1124933,31.10,31.10,31.00,31.10, ,0.00,31.05,5,31.10,27,33.44,
1324,地球,421927,308,6843570,16.40,16.50,16.10,16.20,-,0.20,16.20,8,16.25,10,28.42,
1325,恆大,1003768,734,32860620,33.05,33.45,32.50,32.55,-,0.55,32.55,22,32.60,10,83.46,
1326,台化,6766136,5270,373830109,55.50,55.80,55.00,55.00,-,0.70,55.00,1412,55.20,10,343.75,
1337,再生-KY,599359,454,4610533,7.75,7.80,7.64,7.70,-,0.05,7.66,6,7.71,12,0.00,
1338,廣華-KY,61615,175,2304593,37.65,37.70,37.30,37.35,-,0.30,37.30,6,37.45,2,0.00,
1339,昭輝,374763,557,27200503,73.90,73.90,71.80,72.60,-,0.60,72.60,4,72.70,4,16.73,
1340,勝悅-KY,207038,390,2250763,10.90,11.00,10.80,10.85,-,0.05,10.85,5,10.90,1,0.00,
1341,富林-KY,6012,17,371047,61.70,61.80,61.70,61.70, ,0.00,61.70,1,61.80,1,12.80,
1342,八貫,738102,825,98498837,134.00,136.00,132.00,132.00, ,0.00,132.00,72,132.50,2,17.77,
1402,遠東新,4313288,2237,137669138,31.90,32.00,31.80,31.85, ,0.00,31.85,53,31.95,18,29.77,
1409,新纖,46550960,16325,773662055,16.20,17.40,15.80,16.85,+,0.90,16.85,68,16.90,93,39.19,
1410,南染,225556,119,8298704,36.90,37.15,36.70,36.80, ,0.00,36.75,2,36.80,2,61.33,
1413,宏洲,46760,44,424871,9.05,9.12,9.05,9.12,+,0.02,9.08,6,9.11,1,0.00,
1414,東和,1216182,578,23723750,19.55,19.90,19.15,19.30,-,0.10,19.25,3,19.30,3,275.71,
1416,廣豐,582262,384,7116475,12.35,12.35,12.15,12.25,+,0.05,12.25,38,12.30,6,20.76,
1417,嘉裕,160569,311,1915924,11.90,12.00,11.85,12.00,+,0.05,11.95,1,12.00,50,37.50,
1418,東華,573992,408,17357137,28.30,31.10,27.80,31.10,+,2.80,31.10,26,0,0,58.68,
1419,新紡,84303,66,3814225,45.20,45.30,45.05,45.10,-,0.15,45.10,1,45.20,1,20.88,
1423,利華,95763,88,2980657,31.15,31.20,31.10,31.10,-,0.05,31.10,54,31.15,4,32.74,
1432,大魯閣,1606748,1699,35121534,22.60,22.60,21.55,21.60,-,0.80,21.55,31,21.60,15,30.42,
1434,福懋,1418546,2040,33199882,23.45,23.50,23.35,23.35,-,0.15,23.35,20,23.40,36,47.65,
1435,中福,6584,38,322633,49.25,51.00,48.20,51.00,+,1.70,48.55,1,51.00,2,0.00,
1436,華友聯,85279,164,7971859,94.10,94.20,92.90,94.20,+,0.50,94.00,3,94.20,2,138.53,
1437,勤益控,167653,127,5262706,31.25,31.45,31.25,31.45,+,0.20,31.40,21,31.45,50,11.19,
1438,三地開發,316502,247,14568627,46.70,46.75,45.65,46.05,-,0.65,46.00,9,46.05,2,0.00,
1439,雋揚,12438,11,308446,24.80,24.80,24.75,24.75,-,0.15,24.75,1,24.85,1,20.12,
1440,南紡,1140652,732,17544431,15.20,15.60,15.20,15.30,+,0.05,15.30,51,15.35,10,0.00,
1441,大東,27439,173,384016,14.00,14.00,13.90,13.90,-,0.10,13.90,1,13.95,1,0.00,
1442,名軒,243861,174,9457131,38.90,38.95,38.65,38.70,-,0.05,38.70,7,38.75,8,19.06,
1443,立益物流,13085,52,373577,28.55,28.65,28.55,28.55,+,0.05,28.50,13,28.55,6,20.99,
