2641 正德 19.00 +0.15 19.40 19.45 18.90 19.16 3002271 57520162 1453 18.95 95 19.05 38 308967469 19.00 20.90 17.10
2643 捷迅 76.50 "-0.80 " 77.50 78.20 76.50 77.33 59019 4563974 67 76.50 1 77.00 6 35000000 76.50 84.10 68.90
2718 晶悅 119.50 +10.50 119.50 119.50 119.50 119.50 351321 41982846 56 119.50 159 0.00 0 87576000 119.50 131.00 108.00
2719 燦星旅 49.90 "-1.00 " 51.20 52.90 49.90 50.98 149952 7644989 153 49.90 2 50.60 1 68742100 49.90 54.80 44.95
2724 藝舍-KY 37.00 +2.00 37.45 38.00 36.00 37.12 74051 2748537 41 36.30 1 37.00 14 59656345 37.00 40.70 33.30
2726 雅茗-KY 31.35 "-0.60 " 32.85 32.85 31.35 31.63 26008 822605 24 31.35 1 31.60 1 28000000 31.35 34.45 28.25
2729 瓦城 204.50 "0.00 " 204.50 207.00 204.00 205.39 36216 7438458 104 204.50 6 205.50 1 39500984 204.50 224.50 184.50
2732 六角 100.50 +0.50 99.50 102.00 99.50 100.47 141287 14195623 155 99.90 1 101.00 3 46514570 100.50 110.50 90.50
2734 易飛網 28.50 +0.25 28.45 29.15 28.45 28.85 69369 2000980 108 28.50 4 28.55 1 42259760 28.50 31.35 25.65
2736 富野 18.85 +0.15 19.05 19.45 18.70 19.04 257527 4902398 208 18.85 5 18.90 3 59972230 18.85 20.70 17.00
2740 天蔥 0 0 0 0 0 27.61 626 17286 8 30.00 1 30.80 2 23185484 30.00 33.00 27.00
2743 山富 124.50 +3.00 125.00 127.50 123.00 125.68 465874 58552208 414 124.50 8 125.00 5 36011700 124.50 136.50 112.50
2745 五福 95.50 +1.00 96.00 97.10 95.10 96.06 548482 52687350 530 95.50 2 95.80 2 33808526 95.50 105.00 86.00
2752 豆府 262.00 +12.00 260.00 262.00 260.00 260.42 3153 821095 11 253.50 1 262.00 1 26267382 262.00 288.00 236.00
2754 亞洲藏壽司 102.00 +0.50 103.00 103.00 101.50 102.52 71529 7333367 107 101.50 17 102.50 4 46861000 102.00 112.00 91.80
2755 揚秦 88.00 +0.60 88.00 88.10 88.00 88.02 15021 1322194 33 87.60 1 88.60 1 30140000 88.00 96.80 79.20
2756 聯發國際 79.10 +2.60 76.60 81.50 76.60 79.40 36062 2863499 52 77.70 1 79.20 1 24542820 79.10 87.00 71.20
2916 滿心 46.75 +0.10 46.75 47.50 46.75 47.11 151098 7118175 130 46.75 2 47.00 2 64626878 46.75 51.40 42.10
2924 宏太-KY 38.35 +3.45 37.00 38.35 37.00 38.06 23125 880191 25 38.35 23 0.00 0 32805174 38.35 42.15 34.55
2926 誠品生活 57.00 +0.20 57.00 57.00 56.80 56.96 4067 231659 7 56.60 1 57.00 1 47389650 57.00 62.70 51.30
2937 集雅社 33.40 "-0.10 " 33.00 33.40 33.00 33.03 14070 464791 9 33.05 5 33.45 3 39583614 33.40 36.70 30.10
