1101,台泥,20229190,9657,710516397,35.15,35.25,34.90,35.20,-,0.05,35.20,43,35.25,62,28.85,
1101B,台泥乙特,49146,27,2329584,47.50,47.55,47.35,47.35,-,0.20,47.30,6,47.35,31,0.00,
1102,亞泥,2893488,1950,116658236,40.20,40.45,40.20,40.40,+,0.10,40.35,46,40.40,178,12.06,
1103,嘉泥,488964,400,9226115,18.95,19.00,18.75,18.90,-,0.10,18.90,12,18.95,1,38.57,
1104,環泥,659545,566,18616385,28.20,28.40,27.95,28.35,+,0.10,28.30,13,28.35,1,9.91,
1108,幸福,2805646,730,43910508,15.20,16.00,15.10,15.50,+,0.35,15.50,187,15.60,10,9.12,
1109,信大,83890,89,1525461,18.25,18.25,18.15,18.15,-,0.05,18.15,3,18.20,2,9.12,
1110,東泥,69171,68,1327630,19.35,19.35,19.10,19.10,-,0.25,19.10,2,19.15,2,38.98,
1201,味全,151515,276,2876740,18.95,19.05,18.90,19.00, ,0.00,18.95,69,19.05,30,44.19,
1203,味王,6174,33,255320,41.15,41.95,41.00,41.20,+,0.05,41.15,2,41.40,2,15.97,
1210,大成,4452690,3207,249184834,55.60,56.60,55.10,56.10,+,1.10,56.10,19,56.20,50,16.03,
1213,大飲,63304,45,407207,6.06,6.76,6.06,6.50,+,0.35,6.50,2,6.69,1,0.00,
1215,卜蜂,535618,2493,52245604,97.50,98.50,96.70,97.50,+,0.10,97.50,9,97.60,5,16.30,
1216,統一,7277649,4525,513554640,70.60,70.90,70.30,70.80,+,0.10,70.80,76,70.90,216,20.88,
1217,愛之味,2424334,1040,30981727,12.85,12.95,12.70,12.75,-,0.10,12.70,676,12.75,13,19.03,
1218,泰山,559592,571,13540634,24.20,24.30,24.15,24.15,-,0.20,24.15,19,24.25,11,2.26,
1219,福壽,903891,520,18328152,19.95,20.50,19.95,20.45,+,0.50,20.40,6,20.45,1,53.82,
1220,台榮,78087,95,1120127,14.35,14.40,14.30,14.40,+,0.05,14.35,3,14.40,16,110.77,
1225,福懋油,38422,13,2024820,52.70,52.70,52.70,52.70,+,0.10,52.50,1,53.00,2,94.11,
1227,佳格,576605,566,21949453,38.20,38.25,37.95,38.20,-,0.05,38.15,11,38.20,11,29.61,
1229,聯華,843463,1204,51673381,60.80,61.60,60.70,61.60,+,0.80,61.60,21,61.70,28,25.45,
1231,聯華食,179620,469,15587711,86.50,87.40,86.00,86.90,+,0.70,86.80,2,86.90,1,23.55,
1232,大統益,42939,149,6166288,143.50,144.00,143.50,144.00,+,0.50,143.50,1,144.00,12,23.57,
1233,天仁,19645,55,695090,35.70,36.05,35.00,35.95,+,0.25,35.45,1,35.70,2,35.25,
1234,黑松,86827,135,3356054,38.70,38.70,38.55,38.65,-,0.05,38.65,4,38.70,2,15.91,
1235,興泰,1211,5,91371,75.80,75.80,75.80,75.80,+,2.00,73.30,2,80.40,1,18.53,
1236,宏亞,4383,103,96608,22.00,22.10,22.00,22.10,+,0.10,22.00,4,22.05,2,96.09,
1256,鮮活果汁-KY,2758,62,769489,281.00,281.00,276.00,276.00,+,4.00,275.50,2,278.00,2,17.26,
1301,台塑,7802700,4529,633016682,80.00,81.70,80.00,81.50,+,1.30,81.50,5,81.60,158,271.67,
1303,南亞,2693495,2703,182943157,67.20,68.30,67.10,68.00,+,0.70,68.00,112,68.10,62,119.30,
1304,台聚,2058960,1133,44712061,21.25,22.05,21.25,21.75,+,0.50,21.75,45,21.80,83,38.84,
