"113年09月19日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","25,095.64","+","416.97","1.69","",
"發行量加權股價指數","22,042.69","+","363.85","1.68","",
"臺灣公司治理100指數","12,871.99","+","202.75","1.60","",
"臺灣50指數","17,940.35","+","304.90","1.73","",
"臺灣50權重上限30%指數","15,580.58","+","240.85","1.57","",
"臺灣中型100指數","19,524.77","+","361.99","1.89","",
"臺灣資訊科技指數","35,429.52","+","652.86","1.88","",
"臺灣發達指數","10,129.47","+","150.46","1.51","",
"臺灣高股息指數","9,361.38","+","105.42","1.14","",
"臺灣就業99指數","13,160.13","+","164.94","1.27","",
"臺灣高薪100指數","11,487.92","+","144.47","1.27","",
"未含金融指數","19,202.69","+","325.62","1.72","",
"未含電子指數","20,084.81","+","253.89","1.28","",
"未含金融電子指數","15,587.14","+","195.65","1.27","",
"小型股300指數","11,688.08","+","189.90","1.65","",
"水泥窯製類指數","602.05","+","3.62","0.60","",
"塑膠化工類指數","705.97","+","9.12","1.31","",
"機電類指數","6,569.46","+","119.53","1.85","",
"水泥類指數","159.02","+","0.54","0.34","",
"食品類指數","2,339.60","+","8.43","0.36","",
"塑膠類指數","146.77","+","1.56","1.07","",
"紡織纖維類指數","656.87","+","4.00","0.61","",
"電機機械類指數","402.23","+","6.31","1.59","",
"電器電纜類指數","108.00","+","1.32","1.24","",
"化學生技醫療類指數","144.31","+","2.50","1.76","",
"化學類指數","175.80","+","3.16","1.83","",
"生技醫療類指數","79.67","+","1.35","1.72","",
"玻璃陶瓷類指數","46.38","+","1.18","2.61","",
"造紙類指數","321.59","+","2.50","0.78","",
"鋼鐵類指數","132.81","+","0.70","0.53","",
"橡膠類指數","285.41","+","1.21","0.43","",
"汽車類指數","397.87","+","5.71","1.46","",
"電子工業類指數","1,175.84","+","21.51","1.86","",
"半導體類指數","591.31","+","11.04","1.90","",
"電腦及週邊設備類指數","252.41","+","5.38","2.18","",
"光電類指數","41.16","+","0.75","1.86","",
"通信網路類指數","160.48","+","1.13","0.71","",
"電子零組件類指數","230.21","+","5.23","2.32","",
"電子通路類指數","256.63","+","4.65","1.85","",
"資訊服務類指數","197.29","+","1.75","0.89","",
"其他電子類指數","162.40","+","2.36","1.47","",
"建材營造類指數","629.11","+","15.59","2.54","",
"航運類指數","182.18","+","1.88","1.04","",
"觀光餐旅類指數","120.25","+","0.48","0.40","",
"金融保險類指數","2,061.52","+","26.41","1.30","",
"貿易百貨類指數","316.59","+","4.36","1.40","",
"油電燃氣類指數","72.91","-","0.10","-0.14","",
"綠能環保類指數","122.92","+","0.35","0.29","",
"數位雲端類指數","66.96","+","0.07","0.10","",
"運動休閒類指數","101.68","+","2.10","2.11","",
"居家生活類指數","143.67","+","7.44","5.46","",
"其他類指數","366.91","+","5.79","1.60","",
"臺指日報酬兩倍指數","57,782.28","+","1,876.60","3.36","",
"臺指反向一倍指數","2,948.66","-","50.33","-1.68","",
"電子類兩倍槓桿指數","70,010.93","+","2,515.45","3.73","",
"電子類反向指數","2,250.44","-","42.73","-1.86","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,355.07","+","53.19","1.24","",
"臺灣中小型公司治理指數","10,281.32","+","180.47","1.79","",
"臺灣IPO指數","5,621.43","+","115.34","2.09","",
"智慧中立指數","3,920.85","-","10.72","-0.27","",
"臺灣5G指數","10,866.13","+","170.08","1.59","",
"臺灣企業社會責任中小型指數","11,789.53","+","133.53","1.15","",
"特選臺灣電動車代表指數","9,935.96","+","135.13","1.38","",
"臺灣5G+通訊指數","9,446.03","+","169.00","1.82","",
"臺灣全市場指數","7,654.34","+","128.80","1.71","",
"臺灣全市場半導體指數","7,388.43","+","128.87","1.78","",
"臺灣智慧移動與電動車指數","5,556.95","+","124.82","2.30","",
"特選小資高價30指數","7,575.98","+","170.55","2.30","",
"特選臺灣綠能及電動車指數","5,945.06","+","70.31","1.20","",
"特選臺灣智能車供應鏈聯盟指數","6,836.46","+","117.19","1.74","",
"臺灣全市場半導體精選30指數","5,776.13","+","102.61","1.81","",
"特選臺灣高股息30指數","5,250.33","+","53.21","1.02","",
"臺灣友善環境指數","6,689.03","+","99.36","1.51","",
"台灣永續價值指數","6,169.58","+","86.51","1.42","",
"特選臺灣IC設計指數","3,994.33","+","79.02","2.02","",
"特選臺灣環境永續高股息指數","6,917.23","+","87.34","1.28","",
"臺灣友善環境50指數","5,542.52","+","79.91","1.46","",
"特選臺灣IC設計產業代表指數","5,256.66","+","100.36","1.95","",
"特選臺灣綠能指數","5,649.26","+","73.68","1.32","",
"特選臺灣智慧50指數","5,135.59","+","88.42","1.75","",
"臺灣晶圓製造指數","6,068.93","+","91.70","1.53","",
