"112年08月17日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","18,880.93","+","95.68","0.51","",
"發行量加權股價指數","16,516.66","+","69.88","0.42","",
"臺灣公司治理100指數","9,311.36","+","16.01","0.17","",
"臺灣50指數","12,279.10","+","9.81","0.08","",
"臺灣50權重上限30%指數","11,535.42","-","2.12","-0.02","",
"臺灣中型100指數","16,986.17","+","179.18","1.07","",
"臺灣資訊科技指數","23,020.00","+","113.35","0.49","",
"臺灣發達指數","9,699.87","-","11.40","-0.12","",
"臺灣高股息指數","8,194.60","+","24.97","0.31","",
"臺灣就業99指數","10,840.02","+","14.97","0.14","",
"臺灣高薪100指數","9,070.32","+","4.55","0.05","",
"未含金融指數","14,324.93","+","74.79","0.52","",
"未含電子指數","17,576.59","+","17.39","0.10","",
"未含金融電子指數","14,454.58","+","43.69","0.30","",
"小型股300指數","9,481.68","+","101.56","1.08","",
"水泥窯製類指數","614.63","-","1.09","-0.18","",
"塑膠化工類指數","785.28","-","2.90","-0.37","",
"機電類指數","4,562.57","+","29.20","0.64","",
"水泥類指數","160.12","-","0.79","-0.49","",
"食品類指數","2,008.53","+","7.60","0.38","",
"塑膠類指數","217.83","-","2.51","-1.14","",
"紡織纖維類指數","577.55","-","0.54","-0.09","",
"電機機械類指數","302.30","+","4.38","1.47","",
"電器電纜類指數","100.21","+","1.76","1.79","",
"化學生技醫療類指數","121.52","+","1.13","0.94","",
"化學類指數","146.74","+","2.00","1.38","",
"生技醫療類指數","68.51","+","0.32","0.47","",
"玻璃陶瓷類指數","52.23","+","0.98","1.91","",
"造紙類指數","337.11","-","0.36","-0.11","",
"鋼鐵類指數","135.29","-","0.56","-0.41","",
"橡膠類指數","239.42","+","1.03","0.43","",
"汽車類指數","399.10","+","2.53","0.64","",
"電子工業類指數","813.32","+","4.95","0.61","",
"半導體類指數","362.00","+","1.42","0.39","",
"電腦及週邊設備類指數","254.17","+","2.59","1.03","",
"光電類指數","34.79","+","0.27","0.78","",
"通信網路類指數","137.82","+","0.07","0.05","",
"電子零組件類指數","194.96","+","2.38","1.24","",
"電子通路類指數","181.64","+","0.35","0.19","",
"資訊服務類指數","173.12","+","2.30","1.35","",
"其他電子類指數","104.05","+","1.26","1.23","",
"建材營造類指數","377.08","+","0.61","0.16","",
"航運類指數","139.31","+","1.78","1.29","",
"觀光餐旅類指數","133.45","+","1.54","1.17","",
"金融保險類指數","1,600.51","-","5.57","-0.35","",
"貿易百貨類指數","281.82","+","0.85","0.30","",
"油電燃氣類指數","105.80","-","0.76","-0.71","",
