"112年10月24日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","18,686.29","+","77.29","0.42","",
"發行量加權股價指數","16,309.76","+","58.40","0.36","",
"臺灣公司治理100指數","9,177.25","+","11.79","0.13","",
"臺灣50指數","12,184.98","+","7.85","0.06","",
"臺灣50權重上限30%指數","11,419.99","+","9.65","0.08","",
"臺灣中型100指數","16,313.40","+","171.05","1.06","",
"臺灣資訊科技指數","22,787.36","+","63.25","0.28","",
"臺灣發達指數","9,330.35","+","25.40","0.27","",
"臺灣高股息指數","7,970.23","+","112.52","1.43","",
"臺灣就業99指數","10,587.39","+","44.63","0.42","",
"臺灣高薪100指數","8,869.23","+","33.53","0.38","",
"未含金融指數","14,117.06","+","55.50","0.39","",
"未含電子指數","17,301.73","+","34.33","0.20","",
"未含金融電子指數","14,106.67","+","35.13","0.25","",
"小型股300指數","9,493.81","+","58.73","0.62","",
"水泥窯製類指數","569.37","+","1.51","0.27","",
"塑膠化工類指數","788.03","+","1.20","0.15","",
"機電類指數","4,509.69","+","19.95","0.44","",
"水泥類指數","147.45","-","0.12","-0.08","",
"食品類指數","1,924.84","+","8.62","0.45","",
"塑膠類指數","212.88","-","0.68","-0.32","",
"紡織纖維類指數","597.80","+","2.76","0.46","",
"電機機械類指數","291.35","+","0.07","0.02","",
"電器電纜類指數","97.02","+","1.03","1.07","",
"化學生技醫療類指數","126.06","+","1.26","1.01","",
"化學類指數","162.92","+","0.54","0.33","",
"生技醫療類指數","65.71","+","1.21","1.88","",
"玻璃陶瓷類指數","50.20","+","1.19","2.43","",
"造紙類指數","326.45","+","0.55","0.17","",
"鋼鐵類指數","127.80","-","0.52","-0.41","",
"橡膠類指數","253.34","+","0.72","0.29","",
"汽車類指數","386.58","+","0.70","0.18","",
"電子工業類指數","804.59","+","3.62","0.45","",
"半導體類指數","372.31","-","0.04","-0.01","",
"電腦及週邊設備類指數","214.32","+","7.12","3.44","",
"光電類指數","32.31","+","0.18","0.56","",
"通信網路類指數","142.66","+","1.10","0.78","",
"電子零組件類指數","187.95","+","1.37","0.73","",
"電子通路類指數","215.80","+","1.47","0.69","",
"資訊服務類指數","168.86","+","3.40","2.05","",
"其他電子類指數","97.30","-","1.26","-1.28","",
"建材營造類指數","388.29","+","0.16","0.04","",
"航運類指數","130.18","+","1.28","0.99","",
"觀光餐旅類指數","118.64","+","0.82","0.70","",
"金融保險類指數","1,605.19","+","1.44","0.09","",
"貿易百貨類指數","270.10","+","1.02","0.38","",
"油電燃氣類指數","107.01","+","0.11","0.10","",
"綠能環保類指數","86.38","-","0.31","-0.36","",
"數位雲端類指數","79.96","-","0.05","-0.06","",
"運動休閒類指數","88.06","+","0.62","0.71","",
"居家生活類指數","88.82","-","0.01","-0.01","",
"其他類指數","347.08","-","0.07","-0.02","",
"臺指日報酬兩倍指數","32,886.04","+","234.67","0.72","",
"臺指反向一倍指數","4,136.99","-","14.92","-0.36","",
"電子類兩倍槓桿指數","34,770.50","+","311.48","0.90","",
"電子類反向指數","3,482.48","-","15.81","-0.45","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","3,981.06","+","66.07","1.69","",
"臺灣中小型公司治理指數","9,066.22","+","90.39","1.01","",
"臺灣IPO指數","4,579.26","+","33.64","0.74","",
"智慧中立指數","3,318.74","-","0.96","-0.03","",
"臺灣5G指數","8,147.61","+","8.22","0.10","",
"臺灣企業社會責任中小型指數","10,371.08","+","99.47","0.97","",
"特選臺灣電動車代表指數","7,860.92","+","84.91","1.09","",
"臺灣5G+通訊指數","6,530.85","+","16.96","0.26","",
"臺灣全市場指數","5,565.31","+","20.86","0.38","",
"臺灣全市場半導體指數","5,513.04","+","0.82","0.01","",
"臺灣智慧移動與電動車指數","4,249.83","+","2.87","0.07","",
"特選小資高價30指數","5,264.55","+","30.87","0.59","",
"特選臺灣綠能及電動車指數","4,872.75","+","7.43","0.15","",
"特選臺灣智能車供應鏈聯盟指數","4,781.58","+","7.02","0.15","",
"臺灣全市場半導體精選30指數","4,359.82","-","0.41","-0.01","",
"特選臺灣高股息30指數","4,318.50","+","35.29","0.82","",
