"113年08月15日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","24,897.39","-","120.74","-0.48","",
"發行量加權股價指數","21,895.17","-","132.08","-0.60","",
"臺灣公司治理100指數","12,815.24","-","110.76","-0.86","",
"臺灣50指數","17,841.86","-","165.32","-0.92","",
"臺灣50權重上限30%指數","15,599.70","-","177.89","-1.13","",
"臺灣中型100指數","19,228.80","-","18.77","-0.10","",
"臺灣資訊科技指數","35,269.52","-","286.67","-0.81","",
"臺灣發達指數","10,008.38","-","47.53","-0.47","",
"臺灣高股息指數","9,437.65","-","98.71","-1.04","",
"臺灣就業99指數","13,141.59","-","134.59","-1.01","",
"臺灣高薪100指數","11,515.51","-","75.49","-0.65","",
"未含金融指數","19,103.27","-","105.04","-0.55","",
"未含電子指數","19,930.92","-","108.49","-0.54","",
"未含金融電子指數","15,561.32","-","44.38","-0.28","",
"小型股300指數","11,561.38","+","14.26","0.12","",
"水泥窯製類指數","602.70","-","9.18","-1.50","",
"塑膠化工類指數","715.84","-","2.86","-0.40","",
"機電類指數","6,525.25","-","42.13","-0.64","",
"水泥類指數","159.33","-","2.56","-1.58","",
"食品類指數","2,249.04","-","33.17","-1.45","",
"塑膠類指數","156.90","-","2.38","-1.49","",
"紡織纖維類指數","637.70","-","7.14","-1.11","",
"電機機械類指數","388.37","-","4.69","-1.19","",
"電器電纜類指數","111.59","-","0.91","-0.81","",
"化學生技醫療類指數","139.72","+","1.40","1.01","",
"化學類指數","162.63","-","0.66","-0.40","",
"生技醫療類指數","79.53","+","1.52","1.95","",
"玻璃陶瓷類指數","46.13","-","0.42","-0.90","",
"造紙類指數","317.48","+","0.58","0.18","",
"鋼鐵類指數","134.06","-","1.35","-1.00","",
"橡膠類指數","285.64","-","4.06","-1.40","",
"汽車類指數","380.91","-","3.51","-0.91","",
"電子工業類指數","1,168.50","-","7.36","-0.63","",
"半導體類指數","585.91","-","4.23","-0.72","",
"電腦及週邊設備類指數","257.42","-","0.56","-0.22","",
"光電類指數","40.50","-","0.32","-0.78","",
"通信網路類指數","153.36","+","0.08","0.05","",
"電子零組件類指數","231.18","+","0.56","0.24","",
"電子通路類指數","260.54","-","0.21","-0.08","",
"資訊服務類指數","190.47","-","1.34","-0.70","",
"其他電子類指數","162.77","-","2.95","-1.78","",
"建材營造類指數","659.50","+","10.41","1.60","",
"航運類指數","179.29","+","2.36","1.33","",
"觀光餐旅類指數","119.53","-","0.60","-0.50","",
"金融保險類指數","2,022.06","-","21.21","-1.04","",
"貿易百貨類指數","305.37","-","4.69","-1.51","",
"油電燃氣類指數","84.47","-","0.85","-1.00","",
"綠能環保類指數","121.67","-","0.05","-0.04","",
"數位雲端類指數","66.78","-","0.30","-0.45","",
"運動休閒類指數","96.42","+","0.24","0.25","",
"居家生活類指數","132.86","+","8.37","6.72","",
"其他類指數","372.90","-","3.02","-0.80","",
"臺指日報酬兩倍指數","57,269.74","-","695.14","-1.20","",
"臺指反向一倍指數","2,981.62","+","17.77","0.60","",
"電子類兩倍槓桿指數","69,583.42","-","882.12","-1.25","",
"電子類反向指數","2,278.76","+","14.17","0.63","",
