"113年08月06日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","23,230.06","+","680.10","3.02","",
"發行量加權股價指數","20,501.02","+","670.14","3.38","",
"臺灣公司治理100指數","12,053.26","+","556.96","4.84","",
"臺灣50指數","16,728.44","+","842.26","5.30","",
"臺灣50權重上限30%指數","14,663.24","+","553.63","3.92","",
"臺灣中型100指數","17,951.48","+","135.16","0.76","",
"臺灣資訊科技指數","32,738.37","+","1,780.83","5.75","",
"臺灣發達指數","9,602.48","+","191.06","2.03","",
"臺灣高股息指數","8,837.81","+","127.82","1.47","",
"臺灣就業99指數","12,416.02","+","240.40","1.97","",
"臺灣高薪100指數","10,873.64","+","265.98","2.51","",
"未含金融指數","17,830.18","+","620.28","3.60","",
"未含電子指數","19,039.57","+","156.51","0.83","",
"未含金融電子指數","14,819.15","+","64.29","0.44","",
"小型股300指數","10,664.17","-","91.84","-0.85","",
"水泥窯製類指數","597.33","+","11.11","1.90","",
"塑膠化工類指數","700.61","+","10.58","1.53","",
"機電類指數","6,050.65","+","258.99","4.47","",
"水泥類指數","158.79","+","3.73","2.41","",
"食品類指數","2,178.22","+","45.72","2.14","",
"塑膠類指數","160.69","+","2.43","1.54","",
"紡織纖維類指數","614.03","-","2.55","-0.41","",
"電機機械類指數","355.68","-","3.25","-0.91","",
"電器電纜類指數","102.89","+","0.53","0.52","",
"化學生技醫療類指數","131.82","+","1.79","1.38","",
"化學類指數","156.16","+","0.46","0.30","",
"生技醫療類指數","74.17","+","1.53","2.11","",
"玻璃陶瓷類指數","43.84","-","0.83","-1.86","",
"造紙類指數","301.50","+","4.93","1.66","",
"鋼鐵類指數","129.39","+","0.22","0.17","",
"橡膠類指數","269.54","+","5.53","2.09","",
"汽車類指數","364.81","-","2.25","-0.61","",
"電子工業類指數","1,083.88","+","48.03","4.64","",
"半導體類指數","544.54","+","34.87","6.84","",
"電腦及週邊設備類指數","232.53","+","0.74","0.32","",
"光電類指數","37.75","-","0.03","-0.08","",
"通信網路類指數","150.05","+","1.07","0.72","",
"電子零組件類指數","211.59","+","3.89","1.87","",
"電子通路類指數","242.51","+","3.11","1.30","",
"資訊服務類指數","177.44","-","2.58","-1.43","",
"其他電子類指數","149.80","+","0.36","0.24","",
"建材營造類指數","580.80","-","31.28","-5.11","",
"航運類指數","168.73","+","3.97","2.41","",
"觀光餐旅類指數","115.92","-","0.97","-0.83","",
"金融保險類指數","1,943.32","+","30.52","1.60","",
"貿易百貨類指數","298.87","+","4.96","1.69","",
"油電燃氣類指數","88.73","+","3.39","3.97","",
"綠能環保類指數","112.40","-","2.96","-2.57","",
"數位雲端類指數","64.19","+","0.90","1.42","",
"運動休閒類指數","89.53","-","0.39","-0.43","",
"居家生活類指數","114.88","+","1.84","1.63","",
"其他類指數","350.49","-","1.24","-0.35","",
"臺指日報酬兩倍指數","50,356.00","+","3,187.88","6.76","",
"臺指反向一倍指數","3,194.19","-","111.72","-3.38","",
"電子類兩倍槓桿指數","60,092.44","+","5,099.77","9.27","",
"電子類反向指數","2,466.31","-","119.92","-4.64","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","3,992.77","+","30.14","0.76","",
"臺灣中小型公司治理指數","9,196.71","+","59.76","0.65","",
"臺灣IPO指數","4,826.02","-","60.00","-1.23","",
"智慧中立指數","3,911.68","-","69.41","-1.74","",
"臺灣5G指數","10,225.19","+","464.15","4.76","",
"臺灣企業社會責任中小型指數","10,944.16","-","8.54","-0.08","",
"特選臺灣電動車代表指數","9,287.78","+","188.02","2.07","",
"臺灣5G+通訊指數","8,852.12","+","380.73","4.49","",
"臺灣全市場指數","7,072.79","+","218.48","3.19","",
"臺灣全市場半導體指數","6,820.21","+","273.32","4.17","",
"臺灣智慧移動與電動車指數","5,233.70","+","170.75","3.37","",
"特選小資高價30指數","6,870.44","+","264.07","4.00","",
"特選臺灣綠能及電動車指數","5,573.46","+","105.63","1.93","",
"特選臺灣智能車供應鏈聯盟指數","6,353.86","+","259.70","4.26","",
"臺灣全市場半導體精選30指數","5,392.69","+","232.51","4.51","",
"特選臺灣高股息30指數","5,031.63","+","82.35","1.66","",
"臺灣友善環境指數","6,193.94","+","210.23","3.51","",
"台灣永續價值指數","5,764.73","+","225.02","4.06","",
"特選臺灣IC設計指數","3,710.99","+","40.69","1.11","",
"特選臺灣環境永續高股息指數","6,565.47","+","24.49","0.37","",
"臺灣友善環境50指數","5,221.41","+","207.00","4.13","",
"特選臺灣IC設計產業代表指數","4,865.76","+","66.05","1.38","",
"特選臺灣綠能指數","5,258.25","+","9.75","0.19","",
"特選臺灣智慧50指數","4,815.22","+","174.54","3.76","",
"臺灣晶圓製造指數","5,701.61","+","214.43","3.91","",
"臺灣精選高息指數","4,989.98","+","91.11","1.86","",
"臺灣多因子優選高股息30指數","8,230.11","+","117.63","1.45","",
"特選臺灣優利高填息30指數","6,680.86","+","112.58","1.71","",
"特選臺灣科技優息指數","8,395.10","+","160.21","1.95","",
"臺灣半導體收益指數","6,263.66","+","201.72","3.33","",
"臺灣優選成長高股息指數","7,236.63","+","79.94","1.12","",
"特選臺灣ESG低碳高息40指數","7,849.70","+","97.12","1.25","",
"臺灣優選多因子30指數","8,028.01","+","96.44","1.22","",
"臺灣創新科技50指數","6,626.90","+","301.47","4.77","",
"臺灣全市場新經濟產業指數","4,679.12","+","0.74","0.02","",
"臺灣ESG永續高股息等權重指數","5,803.53","+","21.29","0.37","",
"臺灣永續高息中小型指數","5,600.76","+","41.22","0.74","",
"特選臺灣高息優質成長指數","5,780.96","+","60.79","1.06","",
"特選臺灣高息動能指數","6,123.96","+","112.74","1.88","",
"臺灣電子成長高息等權重指數","5,151.25","-","5.85","-0.11","",
"特選臺灣優利成長指數","4,944.03","-","9.60","-0.19","",
"臺灣價值高息指數","5,159.93","+","74.82","1.47","",
"特選臺灣IC設計動能指數","4,323.05","+","82.69","1.95","",
