"00759B" "復華製藥債" "57.35" "+0.50" "57.35" "57.35" "57.35" "57.35" "100110" "5741308" "4" "57.30" "100" "57.40" "1" "47525000" "57.35" "9999.95" "0.01"
"00760B" "復華新興企業債" "53.50" "+0.30" "53.45" "53.55" "53.45" "53.55" "314610" "16846160" "67" "53.50" "105" "53.55" "87" "376520000" "53.50" "9999.95" "0.01"
"00761B" "國泰A級公司債" "37.07" "+0.37" "37.04" "37.09" "37.03" "37.05" "936501" "34701036" "429" "37.06" "2" "37.07" "181" "2241089000" "37.07" "9999.95" "0.01"
"00764B" "群益25年美債" "33.73" "+0.44" "33.70" "33.73" "33.69" "33.72" "1185294" "39963456" "225" "33.72" "3" "33.73" "9" "723500000" "33.73" "9999.95" "0.01"
"00765B" "群益中國政金債" "39.34" "+0.01" "39.32" "39.34" "39.32" "39.34" "103000" "4051980" "4" "39.31" "10" "39.35" "25" "1500000" "39.34" "9999.95" "0.01"
"00768B" "復華20年美債" "57.20" "+0.75" "57.20" "57.20" "57.15" "57.20" "124246" "7106580" "16" "57.15" "109" "57.20" "2" "300100000" "57.20" "9999.95" "0.01"
"00772B" "中信高評級公司債" "35.72" "+0.32" "35.69" "35.75" "35.67" "35.72" "7825468" "279496841" "2627" "35.72" "131" "35.73" "208" "2714290000" "35.72" "9999.95" "0.01"
"00773B" "中信優先金融債" "35.65" "+0.32" "35.61" "35.69" "35.61" "35.65" "1893589" "67507762" "671" "35.64" "18" "35.65" "5" "2184790000" "35.65" "9999.95" "0.01"
"00777B" "凱基AAA至A公司債" "35.36" "+0.34" "35.36" "35.36" "35.36" "35.36" "101000" "3571360" "3" "35.29" "100" "35.35" "2" "1139150000" "35.36" "9999.95" "0.01"
"00778B" "凱基金融債20+" "35.05" "+0.29" "34.97" "35.10" "34.97" "35.05" "383000" "13422450" "38" "34.97" "100" "35.03" "6" "1288150000" "35.05" "9999.95" "0.01"
"00779B" "凱基美債25+" "33.92" "+0.39" "33.76" "33.93" "33.76" "33.85" "157281" "5323919" "12" "33.88" "1" "33.90" "1" "715650000" "33.92" "9999.95" "0.01"
"00780B" "國泰A級金融債" "35.90" "+0.15" "35.89" "35.94" "35.89" "35.92" "263765" "9474398" "89" "35.90" "1" "35.91" "4" "275602000" "35.90" "9999.95" "0.01"
"00781B" "國泰A級科技債" "33.36" "+0.35" "33.33" "33.36" "33.33" "33.36" "101000" "3369330" "3" "33.35" "58" "33.38" "35" "3836000" "33.36" "9999.95" "0.01"
"00782B" "國泰A級公用債" "33.03" "+0.27" "33.04" "33.06" "33.00" "33.03" "144000" "4756700" "18" "33.02" "3" "33.04" "27" "7967000" "33.03" "9999.95" "0.01"
"00784B" "富邦中國投等債" "36.63" "+0.11" "36.64" "36.64" "36.63" "36.64" "100000" "3663500" "4" "36.52" "60" "36.64" "21" "2993000" "36.63" "9999.95" "0.01"
"00785B" "富邦金融投等債" "34.27" "+0.25" "34.12" "34.31" "34.12" "34.29" "102000" "3497380" "6" "34.24" "100" "34.25" "1" "762966000" "34.27" "9999.95" "0.01"
"00786B" "元大10年IG銀行債" "33.40" "+0.25" "33.33" "33.41" "33.33" "33.39" "339000" "11320100" "44" "33.38" "34" "33.39" "1" "11566000" "33.40" "9999.95" "0.01"
"00787B" "元大10年IG醫療債" "35.15" "+0.24" "35.17" "35.17" "35.15" "35.16" "213000" "7488960" "11" "35.14" "44" "35.16" "33" "8306000" "35.15" "9999.95" "0.01"
"00788B" "元大10年IG電能債" "32.19" "+0.22" "32.14" "32.20" "32.14" "32.19" "311000" "10011420" "33" "32.19" "4" "32.20" "42" "9706000" "32.19" "9999.95" "0.01"
"00789B" "復華公司債A3" "52.35" "+0.65" "52.25" "52.35" "52.25" "52.32" "607000" "31755400" "20" "52.30" "60" "52.40" "101" "112100000" "52.35" "9999.95" "0.01"
"00790B" "復華次順位金融債" "52.10" "+0.40" "52.10" "52.10" "52.10" "52.10" "100000" "5210000" "2" "51.75" "9" "52.25" "6" "2100000" "52.10" "9999.95" "0.01"
"00791B" "復華信用債1-5" "52.90" "+0.10" "52.90" "52.90" "52.90" "52.90" "100000" "5290000" "4" "52.70" "110" "52.85" "1" "253600000" "52.90" "9999.95" "0.01"
"00792B" "群益A級公司債" "33.78" "+0.33" "33.77" "33.81" "33.77" "33.79" "128509" "4342280" "45" "33.77" "100" "33.78" "1" "1199615000" "33.78" "9999.95" "0.01"
"00793B" "群益AAA-A醫療債" "33.78" "+0.30" "33.79" "33.82" "33.78" "33.82" "115100" "3892130" "6" "33.78" "10" "33.84" "22" "3526000" "33.78" "9999.95" "0.01"
"00794B" "群益7+中國政金債" "40.50" "-0.05 " "40.49" "40.51" "40.49" "40.49" "127075" "5145503" "18" "40.48" "4" "40.50" "58" "34187000" "40.50" "9999.95" "0.01"
"00795B" "中信美國公債20年" "32.94" "+0.40" "32.83" "32.96" "32.83" "32.92" "6851216" "225538858" "749" "32.93" "73" "32.94" "41" "385598000" "32.94" "9999.95" "0.01"
"00799B" "國泰A級醫療債" "34.01" "+0.40" "33.98" "34.02" "33.97" "33.99" "161000" "5472330" "15" "33.97" "1" "34.00" "1" "4036000" "34.01" "9999.95" "0.01"
"00831B" "新光美債1-3" "37.90" "+0.10" "37.90" "37.90" "37.90" "37.90" "2000" "75800" "2" "37.80" "2" "37.98" "5" "14100000" "37.90" "9999.95" "0.01"
"00834B" "第一金金融債10+" "33.65" "+0.23" "33.65" "33.65" "33.65" "33.65" "100000" "3365000" "3" "33.64" "46" "33.65" "2" "22198000" "33.65" "9999.95" "0.01"
"00836B" "永豐10年A公司債" "30.92" "+0.29" "30.91" "30.93" "30.91" "30.92" "524000" "16203420" "17" "30.91" "90" "30.93" "100" "431541000" "30.92" "9999.95" "0.01"
"00840B" "凱基IG精選15+" "32.07" "+0.26" "32.13" "32.13" "32.07" "32.13" "104000" "3341280" "3" "32.06" "100" "32.11" "2" "59431000" "32.07" "9999.95" "0.01"
"00841B" "凱基AAA-AA公司債" "32.30" "+0.31" "32.26" "32.30" "32.26" "32.30" "110000" "3552920" "8" "32.25" "1" "32.29" "2" "53940000" "32.30" "9999.95" "0.01"
"00842B" "台新美元銀行債" "32.20" "+0.28" "32.20" "32.20" "32.20" "32.20" "100000" "3220000" "2" "32.15" "4" "32.25" "16" "8767000" "32.20" "9999.95" "0.01"
"00844B" "新光15年IG金融債" "32.00" "+0.35" "32.00" "32.00" "32.00" "32.00" "2000" "64000" "2" "31.88" "1" "32.04" "5" "254675000" "32.00" "9999.95" "0.01"
"00845B" "富邦新興投等債" "31.83" "+0.13" "31.80" "31.84" "31.80" "31.84" "102000" "3247630" "4" "31.78" "10" "31.84" "20" "201551000" "31.83" "9999.95" "0.01"
"00846B" "富邦歐洲銀行債" "33.44" "+0.24" "33.44" "33.44" "33.44" "33.44" "101001" "3377473" "6" "33.38" "25" "33.40" "1" "87850000" "33.44" "9999.95" "0.01"
"00847B" "中信美國市政債" "28.43" "+0.21" "28.40" "28.43" "28.40" "28.42" "208000" "5910880" "8" "28.42" "9" "28.43" "23" "10305000" "28.43" "9999.95" "0.01"
