"111年02月25日 三大法人買賣超日報"
"證券代號" "證券名稱" "外陸資買進股數(不含外資自營商)" "外陸資賣出股數(不含外資自營商)" "外陸資買賣超股數(不含外資自營商)" "外資自營商買進股數" "外資自營商賣出股數" "外資自營商買賣超股數" "投信買進股數" "投信賣出股數" "投信買賣超股數" "自營商買賣超股數" "自營商買進股數(自行買賣)" "自營商賣出股數(自行買賣)" "自營商買賣超股數(自行買賣)" "自營商買進股數(避險)" "自營商賣出股數(避險)" "自營商買賣超股數(避險)" "三大法人買賣超股數"
="03218P" "同欣電元富15售03" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "67000" "50000" "17000" "17000"
="03968P" "國巨元大17售17  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "39000" "22000" "17000" "17000"
="043155" "台積電國票13購06" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "17000" "0" "17000" "17000"
="042362" "台積電康和13購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "20000" "3000" "17000" "17000"
="040940" "旺宏元大13購03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "17000" "0" "17000" "17000"
="048949" "AES元大14購02   " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "17000" "0" "17000" "17000"
="048950" "AES元大18購01   " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "17000" "0" "17000" "17000"
="064109" "牧德永豐18購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "30000" "13000" "17000" "17000"
="064367" "和益統一1A購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "17000" "0" "17000" "17000"
="07671P" "台積電元富15售02" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "17000" "0" "17000" "17000"
="062353" "第一銅元富18購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "20000" "3000" "17000" "17000"
="062503" "開發金群益18購03" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "17000" "0" "17000" "17000"
="051444" "光罩永豐15購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "17000" "0" "17000" "17000"
="046734" "上海銀永豐13購02" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "17000" "0" "17000" "17000"
="045136" "松翰元大17購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "17000" "0" "17000" "17000"
="050023" "裕民元大14購04  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "30000" "13000" "17000" "17000"
="050209" "正文國票15購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "27000" "10000" "17000" "17000"
="050166" "東森群益15購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "81000" "64000" "17000" "17000"
="048380" "大立光元大15購04" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "17000" "0" "17000" "17000"
="048190" "矽創元大16購04  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "25000" "8000" "17000" "17000"
="051206" "潤泰全元大15購08" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "18000" "1000" "17000" "17000"
="057123" "帆宣凱基18購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "17000" "0" "17000" "17000"
="052406" "金像電兆豐17購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "50000" "33000" "17000" "17000"
="052650" "長榮凱基15購25  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "25000" "8000" "17000" "17000"
="053511" "晶碩群益16購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "22000" "5000" "17000" "17000"
="054310" "欣興群益1A購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "51000" "34000" "17000" "17000"
="054557" "致新凱基17購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "29000" "12000" "17000" "17000"
="055556" "奇鋐中信18購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "187000" "170000" "17000" "17000"
="056459" "美食元大16購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "22000" "5000" "17000" "17000"
="060313" "陽明國票18購06  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "17000" "0" "17000" "17000"
="060487" "晶心科元富17購02" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "17000" "0" "17000" "17000"
="060683" "陽明凱基19購04  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "17000" "0" "17000" "17000"
="061359" "聯電國泰19購04  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "59000" "42000" "17000" "17000"
="061308" "建準元大17購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "24000" "7000" "17000" "17000"
="061015" "陽明凱基18購07  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "17000" "0" "17000" "17000"
="061052" "榮運統一18購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "25000" "8000" "17000" "17000"
="060949" "天鈺元大18購05  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "26000" "9000" "17000" "17000"
="060797" "華航富邦19購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "17000" "0" "17000" "17000"
="059712" "界霖元大17購03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "17000" "0" "17000" "17000"
="058721" "安普新元大1B購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "17000" "0" "17000" "17000"
="058770" "通嘉群益19購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "17000" "0" "17000" "17000"
="058994" "信邦國票18購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "17000" "0" "17000" "17000"
="058934" "鼎元元大17購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "37000" "20000" "17000" "17000"
="058443" "崇越元大1B購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "17000" "0" "17000" "17000"
="058187" "國泰金元大17購02" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "31000" "14000" "17000" "17000"
="057504" "美食群益16購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "23000" "6000" "17000" "17000"
="057926" "華立凱基17購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000" "0" "0" "0" "17000" "0" "17000" "17000"
"3024" "憶聲            " "43000" "26000" "17000" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000"
"6112" "聚碩            " "31000" "14000" "17000" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000"
"6573" "虹揚-KY         " "35000" "18000" "17000" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17000"
"6133" "金橋            " "26000" "9000" "17000" "0" "0" "0" "0" "0" "0" "-1" "1001" "1002" "-1" "0" "0" "0" "16999"
"1514" "亞力            " "122000" "105000" "17000" "0" "0" "0" "0" "0" "0" "-470" "1000" "1470" "-470" "0" "0" "0" "16530"
="043318" "凱美元大14購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="040528" "華通凱基13購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "21000" "5000" "16000" "16000"
="04067P" "聯發科元大18售13" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="03982P" "國巨富邦19售03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "22000" "6000" "16000" "16000"
="03990P" "聯電元大17售14  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "21000" "5000" "16000" "16000"
="03207P" "南電中信17售02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="043646" "順德元大14購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="049413" "長榮群益14購03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="048598" "國巨凱基14購09  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="062837" "王品富邦1A購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="063555" "世芯元大1A購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "27000" "11000" "16000" "16000"
="065060" "華航統一19購08  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="08480P" "台聚元富16售02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="064077" "樺漢國票19購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "55000" "39000" "16000" "16000"
="064005" "大成鋼元大1A購04" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "26000" "10000" "16000" "16000"
="064715" "景碩富邦1A購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "72000" "56000" "16000" "16000"
="064680" "晶豪科統一18購02" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "28000" "12000" "16000" "16000"
="064645" "奇鋐凱基19購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "123000" "107000" "16000" "16000"
="064578" "潤泰全元大18購03" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="050611" "長榮麥證18購01  " "0" "0" "0" "21000" "5000" "16000" "0" "0" "0" "16000" "0" "0" "0" "21000" "5000" "16000" "16000"
="049842" "長榮群益16購04  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "48000" "32000" "16000" "16000"
="049886" "華新科元大14購04" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="046676" "嘉晶國票14購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="047608" "聯詠凱基14購05  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="051647" "玉晶光兆豐16購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "40000" "24000" "16000" "16000"
="052002" "帆宣國票16購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="056320" "長榮永豐16購09  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "168000" "152000" "16000" "16000"
="056553" "台驊控國票16購03" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "32000" "16000" "16000" "16000"
="056525" "晶豪科群益16購05" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="055803" "欣興群益16購06  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "19000" "3000" "16000" "16000"
="054579" "萬海群益16購04  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "20000" "4000" "16000" "16000"
="054266" "新唐元大16購03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "86000" "70000" "16000" "16000"
="054069" "台光電元大18購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="053190" "長榮凱基16購08  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="052715" "旺宏元大17購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "50000" "34000" "16000" "16000"
="052932" "凌通國票15購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="052974" "康普群益16購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="056945" "臺股指國票16購12" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "20000" "4000" "16000" "16000"
="057380" "菱生元富19購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "24000" "8000" "16000" "16000"
="058287" "長榮航永豐17購04" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="058300" "勝一統一18購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "102000" "86000" "16000" "16000"
="058990" "建準國票17購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="058769" "通嘉群益18購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "20000" "4000" "16000" "16000"
="059719" "南茂元大18購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="059716" "南電元大17購03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="059165" "建準元富17購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="060914" "長榮元大17購30  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "32000" "16000" "16000" "16000"
="061558" "南亞科元大17購03" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="060705" "華航群益17購03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "119000" "103000" "16000" "16000"
="060375" "建準統一17購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="059751" "華晶科凱基17購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="059829" "中鴻凱基1C購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="061679" "萬海凱基19購04  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "16000" "0" "16000" "16000"
="061833" "捷敏永豐17購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "22000" "6000" "16000" "16000"
="061850" "富采統一18購04  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "76000" "60000" "16000" "16000"
="061879" "全新群益17購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "54000" "38000" "16000" "16000"
="062002" "第一銅凱基17購02" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16000" "0" "0" "0" "25000" "9000" "16000" "16000"
="049434" "長榮凱基14購09  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="045829" "鴻海永豐13購03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="049264" "元石油國票15購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="049275" "嘉聯益富邦15購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="049357" "長榮元富15購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="04364P" "康普國票19售02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="043755" "長榮航凱基16購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="03700P" "臺股指凱基17售24" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="037030" "南亞科元大14購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="03539B" "臺股指凱基17熊35" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="03208P" "臺股指中信19售12" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="03307P" "亞光群益17售01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="03016P" "群創中信15售01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="00865B" "國泰US短期公債  " "62000" "0" "62000" "0" "0" "0" "0" "0" "0" "-47000" "0" "0" "0" "13000" "60000" "-47000" "15000"
="00703" "台新MSCI中國    " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "43000" "28000" "15000" "15000"
="038380" "強茂元大13購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="044205" "國泰金元大13購03" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="04418P" "台勝科凱基18售03" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="048933" "新光鋼元大14購02" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="048942" "國泰金元大14購03" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="040861" "聯電國泰14購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="040985" "義隆國泰14購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="042438" "同欣電永豐13購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="042537" "臺股指國票14購02" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="04302P" "臺股指凱基18售32" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="042633" "為升元大13購03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="064659" "興農統一18購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="08560P" "國巨凱基15售02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "115000" "100000" "15000" "15000"
="065125" "榮運元富18購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "18000" "3000" "15000" "15000"
="07969P" "臺股指麥證13售05" "0" "0" "0" "15000" "0" "15000" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="063087" "世紀鋼元大1A購02" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "25000" "10000" "15000" "15000"
="063372" "長榮航兆豐19購02" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "514000" "499000" "15000" "15000"
="062726" "臺股指國票19購13" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="062445" "台表科元大1A購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "24000" "9000" "15000" "15000"
="062590" "新興凱基18購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "149000" "134000" "15000" "15000"
="062233" "華新群益1A購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "17000" "2000" "15000" "15000"
="062287" "世紀鋼群益18購03" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
"1617" "榮星            " "8000" "2000" "6000" "0" "0" "0" "0" "0" "0" "9000" "0" "1000" "-1000" "10000" "0" "10000" "15000"
="051690" "旺宏凱基17購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "20000" "5000" "15000" "15000"
="051829" "滬深2X國泰17購02" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="047184" "友達國票15購03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="047058" "聯電群益14購15  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "30000" "15000" "15000" "15000"
="046199" "台驊控元大13購03" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "30000" "15000" "15000" "15000"
="045263" "鴻海元大13購13  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="050333" "鴻海元大17購03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="050346" "強茂元大17購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="050451" "智易元大15購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "40000" "25000" "15000" "15000"
="047703" "新唐元大16購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="046435" "聯詠兆豐15購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="051222" "臺股指元大16購08" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="051273" "長興凱基15購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="050859" "光罩兆豐17購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="050887" "達方永豐15購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="047961" "晶豪科統一16購04" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="047817" "聯詠康和14購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "19000" "4000" "15000" "15000"
="047835" "華新科統一16購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="047780" "潤泰全群益16購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="048758" "萬海國票15購06  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="050113" "威鋒電凱基18購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="057107" "台積電凱基17購08" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="057111" "台光電凱基17購02" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "17000" "2000" "15000" "15000"
="057240" "台灣50日盛17購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "215000" "200000" "15000" "15000"
="053076" "新唐元大15購05  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="053120" "光磊永豐15購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="053054" "光罩元大19購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="053043" "致新統一16購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "20000" "5000" "15000" "15000"
="052731" "嘉晶元大17購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "38000" "23000" "15000" "15000"
="052487" "義隆凱基16購03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="052333" "金像電元大15購05" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "18000" "3000" "15000" "15000"
="052344" "長榮元大17購10  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="052294" "台積電凱基15購19" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "75000" "60000" "15000" "15000"
="053383" "華通凱基18購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "22000" "7000" "15000" "15000"
="054117" "長榮凱基16購09  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="054256" "國泰金元大16購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "23000" "8000" "15000" "15000"
="053795" "台勝科元大17購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "36000" "21000" "15000" "15000"
="054381" "南亞科凱基16購03" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="055475" "長榮航元大19購07" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="055989" "萬海凱基16購08  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "22000" "7000" "15000" "15000"
="056177" "大成鋼群益16購06" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "43000" "28000" "15000" "15000"
="056611" "神達元大16購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "15000" "0" "15000" "15000"
="056629" "萬海凱基16購11  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "15000" "0" "0" "0" "22000" "7000" "15000" "15000"
