"111年06月30日 三大法人買賣超日報"
"證券代號" "證券名稱" "外陸資買進股數(不含外資自營商)" "外陸資賣出股數(不含外資自營商)" "外陸資買賣超股數(不含外資自營商)" "外資自營商買進股數" "外資自營商賣出股數" "外資自營商買賣超股數" "投信買進股數" "投信賣出股數" "投信買賣超股數" "自營商買賣超股數" "自營商買進股數(自行買賣)" "自營商賣出股數(自行買賣)" "自營商買賣超股數(自行買賣)" "自營商買進股數(避險)" "自營商賣出股數(避險)" "自營商買賣超股數(避險)" "三大法人買賣超股數"
"3189" "景碩            " "3019000" "2396184" "622816" "0" "0" "0" "0" "19000" "-19000" "-45757" "23000" "84000" "-61000" "201274" "186031" "15243" "558059"
"2482" "連宇            " "4626000" "4075000" "551000" "0" "0" "0" "0" "0" "0" "-29148" "0" "29000" "-29000" "7784" "7932" "-148" "521852"
"5608" "四維航          " "1851000" "1332000" "519000" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "519000"
"1522" "堤維西          " "3411000" "2602000" "809000" "0" "0" "0" "0" "0" "0" "-299900" "100" "300000" "-299900" "0" "0" "0" "509100"
"2201" "裕隆            " "4015000" "3231000" "784000" "0" "0" "0" "32000" "314000" "-282000" "672" "242000" "201953" "40047" "39000" "78375" "-39375" "502672"
"8261" "富鼎            " "2896000" "2380000" "516000" "0" "0" "0" "0" "0" "0" "-35633" "5000" "4633" "367" "22000" "58000" "-36000" "480367"
"3665" "貿聯-KY         " "1002250" "522000" "480250" "0" "0" "0" "0" "0" "0" "-3000" "6000" "22000" "-16000" "41000" "28000" "13000" "477250"
"3047" "訊舟            " "1334000" "864000" "470000" "0" "0" "0" "0" "0" "0" "2000" "5000" "3000" "2000" "0" "0" "0" "472000"
"6251" "定穎            " "2938000" "2467000" "471000" "0" "0" "0" "0" "0" "0" "173" "1173" "1000" "173" "0" "0" "0" "471173"
"1310" "台苯            " "748000" "319000" "429000" "0" "0" "0" "0" "0" "0" "34000" "62000" "28000" "34000" "0" "0" "0" "463000"
"2305" "全友            " "1833000" "1396000" "437000" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "437000"
"3037" "欣興            " "8889554" "7371168" "1518386" "0" "0" "0" "7000" "408000" "-401000" "-683000" "143000" "685000" "-542000" "102000" "243000" "-141000" "434386"
"6789" "采鈺            " "485000" "51895" "433105" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "433105"
"8114" "振樺電          " "2027000" "2146000" "-119000" "0" "0" "0" "468000" "0" "468000" "70638" "39000" "26000" "13000" "100000" "42362" "57638" "419638"
"1717" "長興            " "1216000" "823000" "393000" "0" "0" "0" "1000" "0" "1000" "-4505" "6000" "550" "5450" "10000" "19955" "-9955" "389495"
"2331" "精英            " "1393000" "850000" "543000" "0" "0" "0" "0" "0" "0" "-163999" "24001" "90000" "-65999" "5000" "103000" "-98000" "379001"
"4968" "立積            " "972000" "516543" "455457" "0" "0" "0" "0" "70000" "-70000" "-11070" "0" "10070" "-10070" "0" "1000" "-1000" "374387"
"6285" "啟碁            " "1229000" "692000" "537000" "0" "0" "0" "0" "100000" "-100000" "-65947" "0" "65000" "-65000" "53" "1000" "-947" "371053"
"3532" "台勝科          " "1851000" "1450000" "401000" "0" "0" "0" "0" "1000" "-1000" "-34190" "16000" "17000" "-1000" "21000" "54190" "-33190" "365810"
"2308" "台達電          " "4262042" "4231518" "30524" "0" "0" "0" "132800" "6000" "126800" "200369" "122000" "75387" "46613" "221000" "67244" "153756" "357693"
"1316" "上曜            " "910000" "598000" "312000" "0" "0" "0" "0" "0" "0" "2012" "2012" "0" "2012" "0" "0" "0" "314012"
"1477" "聚陽            " "2383032" "2000589" "382443" "0" "0" "0" "0" "136000" "-136000" "62926" "80000" "31477" "48523" "17403" "3000" "14403" "309369"
"3661" "世芯-KY         " "1407060" "975439" "431621" "0" "0" "0" "0" "36000" "-36000" "-89746" "20000" "70215" "-50215" "1001" "40532" "-39531" "305875"
"2347" "聯強            " "1881510" "3128088" "-1246578" "0" "0" "0" "883000" "3000" "880000" "665792" "147000" "35279" "111721" "626000" "71929" "554071" "299214"
"6282" "康舒            " "1645000" "1100000" "545000" "0" "0" "0" "1000" "0" "1000" "-249589" "16200" "169789" "-153589" "26000" "122000" "-96000" "296411"
"6176" "瑞儀            " "739000" "1012000" "-273000" "0" "0" "0" "0" "1000" "-1000" "562298" "111000" "7883" "103117" "460181" "1000" "459181" "288298"
"5388" "中磊            " "1478000" "1051000" "427000" "0" "0" "0" "0" "0" "0" "-143681" "0" "26000" "-26000" "10319" "128000" "-117681" "283319"
"2301" "光寶科          " "6412725" "7886000" "-1473275" "0" "0" "0" "1128000" "6000" "1122000" "624788" "4000" "184000" "-180000" "879408" "74620" "804788" "273513"
"3034" "聯詠            " "2551774" "3271731" "-719957" "0" "0" "0" "3000" "22000" "-19000" "1005665" "777000" "8000" "769000" "280000" "43335" "236665" "266708"
"2390" "云辰            " "438000" "175000" "263000" "0" "0" "0" "0" "0" "0" "1000" "1000" "0" "1000" "0" "0" "0" "264000"
"2211" "長榮鋼          " "476000" "212379" "263621" "0" "0" "0" "0" "0" "0" "-4000" "0" "0" "0" "1000" "5000" "-4000" "259621"
"2458" "義隆            " "563000" "477000" "86000" "0" "0" "0" "0" "1000" "-1000" "172147" "10000" "12000" "-2000" "175371" "1224" "174147" "257147"
"1217" "愛之味          " "698000" "444000" "254000" "0" "0" "0" "0" "0" "0" "998" "1000" "2" "998" "0" "0" "0" "254998"
"2723" "美食-KY         " "580000" "352400" "227600" "0" "0" "0" "0" "0" "0" "20879" "45" "166" "-121" "23000" "2000" "21000" "248479"
"9939" "宏全            " "380000" "282987" "97013" "0" "0" "0" "151000" "0" "151000" "-12386" "67001" "79387" "-12386" "0" "0" "0" "235627"
"2605" "新興            " "1615000" "1207000" "408000" "0" "0" "0" "1000" "0" "1000" "-181865" "15000" "96719" "-81719" "1000" "101146" "-100146" "227135"
"3062" "建漢            " "4990000" "4648000" "342000" "0" "0" "0" "0" "0" "0" "-128201" "1001" "10000" "-8999" "120798" "240000" "-119202" "213799"
"2912" "統一超          " "1045722" "936235" "109487" "0" "0" "0" "92800" "0" "92800" "-1660" "0" "1000" "-1000" "1698" "2358" "-660" "200627"
"2606" "裕民            " "2385000" "1960000" "425000" "0" "0" "0" "0" "200000" "-200000" "-29299" "126000" "153017" "-27017" "34000" "36282" "-2282" "195701"
"2637" "慧洋-KY         " "6588000" "6169000" "419000" "0" "0" "0" "0" "0" "0" "-223587" "14000" "58533" "-44533" "5000" "184054" "-179054" "195413"
"1519" "華城            " "349000" "149000" "200000" "0" "0" "0" "0" "0" "0" "-12000" "0" "0" "0" "2000" "14000" "-12000" "188000"
"1104" "環泥            " "335000" "150000" "185000" "0" "0" "0" "0" "0" "0" "-2000" "1000" "3000" "-2000" "0" "0" "0" "183000"
"3038" "全台            " "293000" "108000" "185000" "0" "0" "0" "0" "0" "0" "-10999" "1" "11000" "-10999" "0" "0" "0" "174001"
"2345" "智邦            " "1587223" "1314000" "273223" "0" "0" "0" "4000" "66000" "-62000" "-41950" "43008" "37265" "5743" "22000" "69693" "-47693" "169273"
"4426" "利勤            " "639000" "472583" "166417" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "166417"
"2327" "國巨            " "1470820" "1406000" "64820" "0" "0" "0" "223000" "114000" "109000" "-16196" "4000" "15000" "-11000" "56000" "61196" "-5196" "157624"
"9802" "鈺齊-KY         " "219070" "674000" "-454930" "0" "0" "0" "588000" "0" "588000" "14835" "7000" "1659" "5341" "15000" "5506" "9494" "147905"
"6719" "力智            " "412000" "282000" "130000" "0" "0" "0" "2000" "1000" "1000" "14000" "14000" "0" "14000" "0" "0" "0" "145000"
"3588" "通嘉            " "426000" "284000" "142000" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "142000"
"2101" "南港            " "191000" "269000" "-78000" "0" "0" "0" "0" "0" "0" "211000" "2000" "1000" "1000" "210000" "0" "210000" "133000"
"2888A" "新光金甲特      " "0" "0" "0" "0" "0" "0" "0" "0" "0" "132000" "132000" "0" "132000" "0" "0" "0" "132000"
"6206" "飛捷            " "2505320" "2536000" "-30680" "0" "0" "0" "364000" "100000" "264000" "-102155" "45000" "159000" "-114000" "40036" "28191" "11845" "131165"
"2820" "華票            " "586000" "462000" "124000" "0" "0" "0" "0" "0" "0" "6555" "7217" "662" "6555" "0" "0" "0" "130555"
"2850" "新產            " "312000" "203000" "109000" "0" "0" "0" "0" "0" "0" "20928" "21232" "0" "21232" "1498" "1802" "-304" "129928"
"4746" "台耀            " "347000" "229000" "118000" "0" "0" "0" "0" "0" "0" "11000" "0" "0" "0" "11000" "0" "11000" "129000"
"1313" "聯成            " "677000" "549000" "128000" "0" "0" "0" "0" "0" "0" "-2073" "0" "2073" "-2073" "0" "0" "0" "125927"
"2208" "台船            " "442000" "319000" "123000" "0" "0" "0" "1000" "0" "1000" "-6287" "11000" "17287" "-6287" "0" "0" "0" "117713"
"3494" "誠研            " "149000" "33000" "116000" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "116000"
"2014" "中鴻            " "2004000" "2618000" "-614000" "0" "0" "0" "1000" "0" "1000" "726976" "6000" "90024" "-84024" "823000" "12000" "811000" "113976"
"3406" "玉晶光          " "686000" "592050" "93950" "0" "0" "0" "4000" "1000" "3000" "13999" "27000" "10001" "16999" "20000" "23000" "-3000" "110949"
"2395" "研華            " "705529" "1333597" "-628068" "0" "0" "0" "740000" "1000" "739000" "-917" "3135" "4000" "-865" "0" "52" "-52" "110015"
"2753" "八方雲集        " "142000" "35000" "107000" "0" "0" "0" "0" "0" "0" "0" "1000" "1000" "0" "0" "0" "0" "107000"
"9940" "信義            " "290000" "183000" "107000" "0" "0" "0" "0" "0" "0" "-1276" "1000" "2276" "-1276" "0" "0" "0" "105724"
"8926" "台汽電          " "305000" "203000" "102000" "0" "0" "0" "1000" "0" "1000" "0" "0" "0" "0" "0" "0" "0" "103000"
"1339" "昭輝            " "200000" "104000" "96000" "0" "0" "0" "0" "0" "0" "-1000" "0" "1000" "-1000" "0" "0" "0" "95000"
"2474" "可成            " "860515" "1230200" "-369685" "0" "0" "0" "473000" "2000" "471000" "-10037" "59000" "56000" "3000" "20000" "33037" "-13037" "91278"
"2888B" "新光金乙特      " "0" "6000" "-6000" "0" "0" "0" "0" "0" "0" "95000" "110000" "15000" "95000" "0" "0" "0" "89000"
"6770" "力積電          " "8042926" "7741019" "301907" "0" "0" "0" "7000" "7000" "0" "-217135" "25000" "25135" "-135" "56000" "273000" "-217000" "84772"
"2314" "台揚            " "738000" "661000" "77000" "0" "0" "0" "0" "0" "0" "0" "1000" "1000" "0" "0" "0" "0" "77000"
