"00679B" "元大美債20年" "30.15" "-0.56" "30.40" "30.41" "30.12" "12644000" "381992660" "5366" "30.15" "9" "30.18" "1" "1037192000" "9999.95" "0.01"
"00687B" "國泰20年美債" "31.32" "-0.49" "31.41" "31.41" "31.26" "653000" "20459780" "195" "31.33" "21" "31.34" "20" "253287000" "9999.95" "0.01"
"00694B" "富邦美債1-3" "39.62" "-0.16" "39.76" "39.76" "39.58" "501000" "19855790" "28" "39.62" "134" "39.63" "10" "114076000" "9999.95" "0.01"
"00695B" "富邦美債7-10" "34.28" "-0.28" "34.36" "34.40" "34.20" "278000" "9539150" "55" "34.28" "17" "34.29" "1" "19686000" "9999.95" "0.01"
"00696B" "富邦美債20年" "31.50" "-0.53" "31.78" "31.78" "31.46" "325000" "10240840" "118" "31.49" "4" "31.50" "9" "572681000" "9999.95" "0.01"
"00697B" "元大美債7-10" "35.98" "-0.23" "36.00" "36.02" "35.96" "194000" "6981220" "20" "35.98" "3" "36.00" "30" "9212000" "9999.95" "0.01"
"00718B" "富邦中國政策債" "20.23" "-0.09" "20.27" "20.27" "20.13" "18000" "362690" "4" "20.10" "30" "20.23" "1" "619501000" "9999.95" "0.01"
"00719B" "元大美債1-3" "31.64" "-0.15" "31.68" "31.68" "31.63" "1297000" "41043300" "113" "31.63" "216" "31.64" "4" "323514000" "9999.95" "0.01"
"00720B" "元大投資級公司債" "32.49" "-0.23" "32.59" "32.59" "32.45" "2232000" "72527170" "938" "32.48" "49" "32.49" "46" "962609000" "9999.95" "0.01"
"00721B" "元大中國債3-5" "46.05" "+0.03" "45.81" "46.05" "45.80" "116000" "5337860" "7" "45.79" "3" "45.91" "1" "5122000" "9999.95" "0.01"
"00722B" "群益15年IG電信債" "35.18" "-0.34" "35.40" "35.40" "34.91" "137000" "4812640" "32" "35.14" "1" "35.18" "1" "987739000" "9999.95" "0.01"
"00723B" "群益15年IG科技債" "31.18" "-0.30" "31.18" "31.18" "31.18" "100000" "3118000" "10" "31.15" "1" "31.18" "1" "1135583000" "9999.95" "0.01"
"00724B" "群益10年IG金融債" "31.04" "-0.22" "31.00" "31.04" "30.79" "274000" "8470520" "54" "31.03" "4" "31.04" "1" "2453775000" "9999.95" "0.01"
"00725B" "國泰投資級公司債" "34.19" "-0.03" "34.23" "34.25" "34.16" "526000" "17989330" "218" "34.18" "4" "34.19" "34" "1417706000" "9999.95" "0.01"
"00726B" "國泰5Y+新興債" "31.81" "-0.08" "31.89" "31.89" "31.80" "151000" "4802930" "21" "31.78" "1" "31.81" "11" "1124989000" "9999.95" "0.01"
"00727B" "國泰1-5Y非投等債" "37.93" "-0.02" "37.84" "37.97" "37.84" "111000" "4212480" "8" "37.93" "1" "37.95" "5" "100189000" "9999.95" "0.01"
"00734B" "台新JPM新興債" "14.98" "-0.01" "14.99" "15.00" "14.98" "1001000" "15005020" "31" "14.97" "100" "14.98" "3" "28479000" "9999.95" "0.01"
"00740B" "富邦全球投等債" "36.58" "-0.31" "36.65" "36.65" "36.55" "274000" "10017670" "27" "36.55" "10" "36.62" "10" "886471000" "9999.95" "0.01"
"00741B" "富邦全球非投等債" "37.00" "-0.08" "37.08" "37.08" "36.97" "103000" "3818550" "7" "36.99" "10" "37.13" "10" "8128000" "9999.95" "0.01"
"00744B" "國泰中國政金債5+" "44.32" "0.00" "44.25" "44.32" "44.25" "134000" "5937830" "11" "44.30" "4" "44.39" "2" "25228000" "9999.95" "0.01"
"00745B" "富邦中政債0-1" "42.27" "-0.23" "42.27" "42.27" "42.27" "100000" "4227000" "4" "42.07" "10" "42.37" "10" "1016000" "9999.95" "0.01"
"00746B" "富邦A級公司債" "34.24" "-0.32" "34.50" "34.50" "34.04" "122000" "4180150" "13" "34.23" "1" "34.27" "5" "1527964000" "9999.95" "0.01"
"00747B" "FH中國政策債" "52.65" "+0.15" "52.65" "52.65" "52.65" "100000" "5265000" "2" "52.55" "9" "52.70" "9" "500000" "9999.95" "0.01"
"00748B" "凱基中國債3-10" "43.73" "+0.67" "43.73" "43.73" "43.73" "100000" "4373000" "2" "43.63" "7" "43.70" "1" "5000000" "9999.95" "0.01"
"00749B" "凱基新興債10+" "29.52" "+0.07" "29.52" "29.52" "29.52" "100000" "2952000" "2" "29.46" "1" "29.59" "1" "932500000" "9999.95" "0.01"
"00750B" "凱基科技債10+" "32.30" "-0.26" "32.30" "32.30" "32.30" "100000" "3230000" "2" "32.30" "5" "32.33" "1" "125500000" "9999.95" "0.01"
"00751B" "元大AAA至A公司債" "32.83" "-0.39" "33.00" "33.00" "32.81" "1600000" "52604190" "642" "32.83" "3" "32.84" "40" "1557103000" "9999.95" "0.01"
"00754B" "群益AAA-AA公司債" "34.79" "-0.45" "34.75" "34.79" "34.75" "108000" "3756180" "12" "34.76" "1" "34.83" "10" "303400000" "9999.95" "0.01"
"00755B" "群益15年IG公用債" "32.57" "-0.39" "32.61" "32.61" "32.49" "108000" "3517360" "10" "32.49" "53" "32.52" "2" "124730000" "9999.95" "0.01"
"00756B" "群益15年EM主權債" "31.03" "+0.03" "30.96" "31.05" "30.96" "113000" "3507080" "16" "31.03" "1" "31.04" "2" "1017800000" "9999.95" "0.01"
"00758B" "FH能源債" "49.03" "-0.38" "49.03" "49.03" "49.03" "100000" "4903000" "2" "48.80" "6" "49.05" "6" "5525000" "9999.95" "0.01"
"00759B" "FH製藥債" "53.95" "-0.55" "53.90" "53.95" "53.90" "102000" "5502800" "3" "53.65" "2" "53.80" "2" "47525000" "9999.95" "0.01"
"00760B" "FH新興企業債" "50.05" "+0.07" "50.05" "50.05" "49.94" "104000" "5194200" "5" "49.85" "13" "49.95" "2" "340020000" "9999.95" "0.01"
"00761B" "國泰A級公司債" "34.52" "-0.34" "34.58" "34.58" "34.51" "143000" "4938350" "23" "34.52" "1" "34.53" "30" "1830089000" "9999.95" "0.01"
"00764B" "群益25年美債" "31.23" "-0.54" "31.16" "31.25" "31.16" "108000" "3374750" "10" "31.22" "35" "31.28" "138" "668000000" "9999.95" "0.01"
"00765B" "群益中國政金債" "40.22" "-0.22" "40.22" "40.22" "40.22" "100000" "4022000" "2" "40.10" "1" "40.23" "25" "3000000" "9999.95" "0.01"
"00768B" "FH20年美債" "52.20" "-0.95" "52.30" "52.30" "52.10" "110000" "5742600" "5" "52.00" "51" "52.15" "1" "235100000" "9999.95" "0.01"
"00772B" "中信高評級公司債" "33.59" "-0.36" "33.79" "33.79" "33.55" "4399000" "147837410" "1867" "33.58" "78" "33.59" "103" "1576790000" "9999.95" "0.01"
"00773B" "中信優先金融債" "33.68" "-0.26" "33.82" "33.82" "33.63" "1478000" "49771430" "322" "33.68" "10" "33.70" "50" "1618290000" "9999.95" "0.01"
"00777B" "凱基AAA至A公司債" "32.82" "-0.34" "32.82" "32.82" "32.82" "100000" "3282000" "2" "32.77" "3" "32.82" "1" "1001150000" "9999.95" "0.01"
"00778B" "凱基金融債20+" "32.49" "-0.26" "32.49" "32.49" "32.49" "100000" "3249000" "2" "32.44" "1" "32.49" "2" "961650000" "9999.95" "0.01"
